at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-04-08 00:00:00,3,2023-01,1,804.9,804.9,804.9,804.9,32404.9,31600.0,0.0,
2024-04-08 00:00:00,8,2023-01,1,704.0,704.0,704.0,704.0,32304.0,31600.0,0.0,
2024-06-10 00:00:00,3,2023-01,2,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,5,2023-01,1,660.3,660.3,660.3,660.3,32260.3,31600.0,0.0,
2024-06-10 00:00:00,8,2023-01,2,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,10,2023-01,1,999.5,999.5,999.5,999.5,32599.5,31600.0,0.0,
2024-06-10 00:00:00,16,2023-01,1,715.75,715.75,715.75,715.75,32315.75,31600.0,0.0,
2024-06-17 00:00:00,9,2023-01,1,892.1,892.1,892.1,892.1,32492.1,31600.0,0.0,
2024-06-17 00:00:00,26,2023-03,1,598.8,598.8,598.8,598.8,32198.8,31600.0,0.0,
2024-06-17 00:00:00,30,2023-03,1,609.65,609.65,609.65,609.65,32209.65,31600.0,0.0,
2024-06-17 00:00:00,46,2023-03,1,604.2,604.2,604.2,604.2,32204.2,31600.0,0.0,
2024-06-24 00:00:00,3,2023-01,3,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,5,2023-01,2,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,8,2023-01,3,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,10,2023-01,2,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,16,2023-01,2,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,44,2023-03,1,593.25,593.25,593.25,593.25,32193.25,31600.0,0.0,
2024-07-01 00:00:00,9,2023-01,2,691.2,691.2,691.2,691.2,32291.2,31600.0,0.0,
2024-07-01 00:00:00,26,2023-03,2,691.2,691.2,691.2,691.2,32291.2,31600.0,0.0,
2024-07-01 00:00:00,30,2023-03,2,691.2,691.2,691.2,691.2,32291.2,31600.0,0.0,
2024-07-01 00:00:00,46,2023-03,2,691.2,691.2,691.2,691.2,32291.2,31600.0,0.0,
2024-07-08 00:00:00,3,2023-01,4,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,5,2023-01,3,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,8,2023-01,4,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,10,2023-01,3,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,16,2023-01,3,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,17,2023-02,1,927.05,927.05,927.05,927.05,32527.05,31600.0,0.0,
