policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,stage,trading_neutral,earnings_forgone_usd,book_ceiling_usd,ceiling_capture
fixed_1000_backlog,32600.0,7500.0,334740.38,105668.41,440408.79,22,225,20,136297.35,25885.51,462022.2,6004.8,472299.1,31890.31,coarse,True,0.0,472299.1,0.932479
fixed_1000_backlog,33100.0,8000.0,325034.28,113374.51,438408.79,22,218,20,146297.35,27885.51,462022.2,6004.8,472299.1,33890.31,coarse,True,0.0,472299.1,0.928244
fixed_1000_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,215,20,156297.35,29885.51,462022.2,6004.8,472299.1,35890.31,coarse,True,0.0,472299.1,0.924009
fixed_1000_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,207,20,166297.35,31885.51,462022.2,6004.8,472299.1,37890.31,coarse,True,0.0,472299.1,0.919775
fixed_1000_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,198,20,176297.35,33885.51,462022.2,6004.8,472299.1,39890.31,coarse,True,0.0,472299.1,0.91554
fixed_1000_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,195,20,186304.45,35892.61,462022.2,6004.8,472299.1,41897.41,coarse,True,0.0,472299.1,0.911291
fixed_1500_backlog,,,56614.3,0.0,56614.3,2,56,0,3782.35,3782.35,54884.35,0.0,60396.65,3782.35,coarse,False,407137.85,472299.1,0.11987
fixed_1500_backlog,25100.0,0.0,56614.3,0.0,56614.3,2,56,0,3782.35,3782.35,54884.35,0.0,60396.65,3782.35,coarse,False,407137.85,472299.1,0.11987
fixed_1500_backlog,25600.0,500.0,58167.45,0.0,58167.45,2,57,0,3782.35,3782.35,56508.7,0.0,61949.8,3782.35,coarse,False,405513.5,472299.1,0.123158
fixed_1500_backlog,26100.0,1000.0,57341.5,0.0,57341.5,2,58,0,3782.35,3782.35,55820.95,0.0,61123.85,3782.35,coarse,False,406201.25,472299.1,0.121409
fixed_1500_backlog,26600.0,1500.0,54217.6,0.0,54217.6,2,53,0,3782.35,3782.35,51955.75,0.0,57999.95,3782.35,coarse,False,410066.45,472299.1,0.114795
fixed_1500_backlog,27100.0,2000.0,96043.5,0.0,96043.5,2,74,0,3782.35,3782.35,93669.35,0.0,99825.85,3782.35,coarse,False,368352.85,472299.1,0.203353
fixed_1500_backlog,27600.0,2500.0,120275.9,0.0,120275.9,2,92,0,3782.35,3782.35,118513.15,0.0,124058.25,3782.35,coarse,False,343509.05,472299.1,0.25466
fixed_1500_backlog,28100.0,3000.0,181222.45,0.0,181222.45,2,117,0,3782.35,3782.35,178700.85,0.0,185004.8,3782.35,coarse,False,283321.35,472299.1,0.383703
fixed_1500_backlog,28600.0,3500.0,172008.4,0.0,172008.4,2,117,0,3782.35,3782.35,170336.25,0.0,175790.75,3782.35,coarse,False,291685.95,472299.1,0.364194
fixed_1500_backlog,29100.0,4000.0,225029.02,0.0,225029.02,2,148,0,3782.35,3782.35,222515.3,103.38,228914.75,3885.73,coarse,False,239506.9,472299.1,0.476454
fixed_1500_backlog,29600.0,4500.0,320939.31,0.0,320939.31,2,210,0,3782.35,3782.35,320112.4,1490.14,326211.8,5272.49,coarse,False,141909.8,472299.1,0.679526
fixed_1500_backlog,29700.0,4600.0,318989.31,0.0,318989.31,2,209,0,3782.35,3782.35,316407.2,1440.14,324211.8,5222.49,local_refinement,False,145615.0,472299.1,0.675397
fixed_1500_backlog,29800.0,4700.0,370417.36,0.0,370417.36,2,237,0,3782.35,3782.35,370668.4,2370.74,376570.45,6153.09,local_refinement,False,91353.8,472299.1,0.784286
fixed_1500_backlog,29900.0,4800.0,368487.36,0.0,368487.36,2,236,0,3782.35,3782.35,367344.65,2300.74,374570.45,6083.09,local_refinement,False,94677.55,472299.1,0.780199
fixed_1500_backlog,30000.0,4900.0,366557.36,0.0,366557.36,2,235,0,3782.35,3782.35,365369.8,2230.74,372570.45,6013.09,local_refinement,False,96652.4,472299.1,0.776113
fixed_1500_backlog,30100.0,5000.0,365628.31,1500.0,367128.31,3,235,1,8415.2,6915.2,370701.95,2160.74,376204.25,9075.94,coarse,False,91320.25,472299.1,0.777322
fixed_1500_backlog,30200.0,5100.0,363791.69,1500.0,365291.69,3,235,1,8415.2,6915.2,366381.0,2097.36,374304.25,9012.56,local_refinement,False,95641.2,472299.1,0.773433
fixed_1500_backlog,30300.0,5200.0,361951.7,1500.0,363451.7,3,234,1,8415.2,6915.2,366381.0,2037.35,372404.25,8952.55,local_refinement,False,95641.2,472299.1,0.769537
fixed_1500_backlog,30400.0,5300.0,360111.7,1500.0,361611.7,3,233,1,8415.2,6915.2,362395.55,1977.35,370504.25,8892.55,local_refinement,False,99626.65,472299.1,0.765641
fixed_1500_backlog,30500.0,5400.0,358271.7,1500.0,359771.7,3,232,1,8415.2,6915.2,362074.4,1917.35,368604.25,8832.55,local_refinement,False,99947.8,472299.1,0.761745
fixed_1500_backlog,30600.0,5500.0,356431.7,1500.0,357931.7,3,232,1,8415.2,6915.2,359177.6,1857.35,366704.25,8772.55,coarse,False,102844.6,472299.1,0.75785
fixed_1500_backlog,31100.0,6000.0,362770.74,83098.2,445868.94,20,242,18,96045.85,9108.27,450995.8,6004.79,460982.0,15113.06,coarse,False,11026.4,472299.1,0.944039
fixed_1500_backlog,31200.0,6100.0,360834.78,84734.15,445568.93,20,242,18,97845.85,9208.27,450995.8,6004.8,460782.0,15213.07,local_refinement,False,11026.4,472299.1,0.943404
fixed_1500_backlog,31300.0,6200.0,358894.78,86374.15,445268.93,20,240,18,99645.85,9308.27,450504.6,6004.8,460582.0,15313.07,local_refinement,False,11517.6,472299.1,0.942769
fixed_1500_backlog,31400.0,6300.0,356954.78,88014.15,444968.93,20,239,18,101445.85,9408.27,450309.5,6004.8,460382.0,15413.07,local_refinement,False,11712.7,472299.1,0.942134
fixed_1500_backlog,31500.0,6400.0,355014.78,89654.15,444668.93,20,238,18,103245.85,9508.27,450140.7,6004.8,460182.0,15513.07,local_refinement,False,11881.5,472299.1,0.941499
fixed_1500_backlog,31600.0,6500.0,354140.38,102345.63,456486.01,22,237,20,116297.35,9808.29,462022.2,6004.8,472299.1,15813.09,coarse,True,0.0,472299.1,0.966519
fixed_1500_backlog,31700.0,6600.0,352200.38,95934.15,448134.53,22,235,20,118297.35,18159.77,462022.2,6004.8,472299.1,24164.57,local_refinement,True,0.0,472299.1,0.948836
fixed_1500_backlog,31800.0,6700.0,350260.38,97574.15,447834.53,22,235,20,120297.35,18459.77,462022.2,6004.8,472299.1,24464.57,local_refinement,True,0.0,472299.1,0.948201
