account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,True,,,5071,30069.5,5324.55,6744.95,18000.0,18000.0,36
2,2023-01-01 00:00:00,True,,,5071,30069.5,5324.55,6744.95,18000.0,18000.0,36
3,2023-01-01 00:00:00,True,,,5071,30069.5,5324.55,6744.95,18000.0,18000.0,36
4,2023-01-01 00:00:00,True,,,5071,30069.5,5324.55,6744.95,18000.0,18000.0,36
5,2023-01-01 00:00:00,True,,,5071,30069.5,5324.55,6744.95,18000.0,18000.0,36
6,2023-02-01 00:00:00,True,,,4974,28988.0,5222.7,6765.3,17000.0,17000.0,34
7,2023-03-01 00:00:00,True,,,4860,28865.5,5103.0,6762.5,17000.0,17000.0,34
8,2023-04-01 00:00:00,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,896,1107.0,939.75,167.25,0.0,0.0,0
9,2023-05-01 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,760,787.5,796.95,-9.45,0.0,0.0,0
10,2023-06-01 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,616,624.0,645.75,-21.75,0.0,0.0,0
11,2023-07-01 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,491,255.0,514.5,-259.5,0.0,0.0,0
12,2023-08-01 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,361,22.0,378.0,-356.0,0.0,0.0,0
13,2023-09-01 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,226,-745.0,236.25,-981.25,0.0,0.0,0
14,2023-10-01 00:00:00,False,2023-10-25 23:06:20,RR1.00:22-23:310:1185,102,-1138.5,106.05,-1244.55,0.0,0.0,0
15,2023-11-01 00:00:00,True,,,3843,26292.5,4035.15,6757.35,15500.0,15500.0,31
16,2023-12-01 00:00:00,True,,,3732,26032.0,3918.6,7113.4,15000.0,15000.0,30
17,2024-01-01 00:00:00,True,,,3615,24970.5,3795.75,7174.75,14000.0,14000.0,28
18,2024-02-01 00:00:00,True,,,3488,24110.0,3662.4,6947.6,13500.0,13500.0,27
19,2024-03-01 00:00:00,False,2024-04-19 02:17:40,RR1.00:1-2:308:1249,172,180.5,179.55,0.95,0.0,0.0,0
20,2024-04-01 00:00:00,False,2024-04-19 02:17:40,RR1.00:1-2:308:1249,84,-175.5,87.15,-262.65,0.0,0.0,0
21,2024-05-01 00:00:00,True,,,3147,22054.5,3304.35,6750.15,12000.0,12000.0,24
22,2024-06-01 00:00:00,True,,,3027,20742.0,3178.35,7063.65,10500.0,10500.0,21
23,2024-06-04 00:00:00,True,,,3023,20397.0,3174.15,6722.85,10500.0,10500.0,21
24,2024-07-01 00:00:00,False,2024-07-25 09:01:40,RR1.00:6-7:389:1493,102,49.0,106.05,-57.05,0.0,0.0,0
25,2024-07-26 00:00:00,True,,,2803,19311.5,2943.15,6868.35,9500.0,9500.0,19
26,2024-08-01 00:00:00,True,,,2786,18717.5,2925.3,6792.2,9000.0,9000.0,18
27,2024-09-01 00:00:00,True,,,2664,16803.0,2797.2,7005.8,7000.0,7000.0,14
28,2024-10-01 00:00:00,True,,,2550,15312.5,2677.5,7135.0,5500.0,5500.0,11
29,2024-11-01 00:00:00,True,,,2422,15663.5,2543.1,7120.4,6000.0,6000.0,12
30,2024-12-01 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,478,774.5,500.85,273.65,0.0,0.0,0
31,2025-04-08 00:00:00,True,,,1834,11438.5,1925.7,7012.8,2500.0,2500.0,5
