account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,False,2020-03-16 21:56:40,RR1.00:16-17:37:96,77,-856.5,79.8,-936.3,0.0,0.0,0
2,2020-01-01 00:00:00,True,,,3147,12129.0,3304.35,100.01,8724.64,8724.64,9
3,2020-01-01 00:00:00,False,2020-03-27 13:32:40,RR1.00:12-13:15:68,90,-342.5,93.45,-435.95,0.0,0.0,0
4,2020-01-01 00:00:00,False,2020-10-19 15:03:40,RR1.00:13-14:76:280,387,322.0,405.3,-83.3,0.0,0.0,0
5,2020-01-01 00:00:00,True,,,3157,24688.5,3314.85,100.01,21273.64,21273.64,25
6,2020-06-09 08:06:40,False,2020-10-30 07:17:40,RR1.00:3-4:74:270,198,-781.0,206.85,-987.85,0.0,0.0,0
7,2020-11-02 08:35:40,False,2021-11-26 11:19:40,RR1.00:10-11:170:628,552,-635.0,578.55,-1213.55,0.0,0.0,0
8,2021-01-08 15:41:40,False,2021-02-25 22:15:40,RR1.00:20-21:93:335,70,-1082.5,72.45,-1154.95,0.0,0.0,0
9,2021-02-26 22:48:40,False,2022-01-27 23:30:00,RR1.00:22-23:176:660,453,648.5,474.6,173.9,0.0,0.0,0
10,2022-01-24 08:36:40,False,2022-05-16 17:57:20,RR1.00:17-18:144:723,150,496.0,156.45,339.55,0.0,0.0,0
11,2022-01-28 08:02:40,False,2022-05-11 20:05:40,RR1.00:16-17:341:936,138,105.0,143.85,-38.85,0.0,0.0,0
12,2022-05-20 06:37:40,False,2022-06-30 18:00:00,RR1.00:17-18:149:758,59,-842.0,60.9,-902.9,0.0,0.0,0
13,2022-05-20 08:00:40,True,,,1933,6646.0,2029.65,1409.1,3207.25,3207.25,4
14,2022-07-15 21:42:40,False,2023-03-14 14:30:00,RR1.00:8-9:293:1067,262,404.5,274.05,130.45,0.0,0.0,0
15,2022-07-15 22:55:40,False,2022-12-19 07:11:40,RR1.00:3-4:262:975,161,-424.0,168.0,-592.0,0.0,0.0,0
16,2023-03-17 06:08:40,True,,,1575,10500.0,1653.75,4492.6,4353.65,4353.65,4
17,2023-09-07 22:50:20,False,2024-04-30 18:09:20,RR1.00:16-17:604:1715,249,-847.0,260.4,-1107.4,0.0,0.0,0
