at,wanted,bought,alive_before,initial_inventory,cash_limited,capacity_limited
2023-01-01T00:00:00,5,5,0,True,False,False
2023-02-01T00:00:00,1,1,5,,False,False
2023-03-01T00:00:00,1,1,6,,False,False
2023-04-01T00:00:00,1,1,7,,False,False
2023-05-01T00:00:00,1,1,8,,False,False
2023-05-16T00:00:00,2,0,7,,True,False
2023-05-17T00:00:00,2,0,7,,True,False
2023-05-18T00:00:00,2,0,7,,True,False
2023-05-19T00:00:00,2,0,7,,True,False
2023-05-20T00:00:00,2,0,7,,True,False
2023-05-21T00:00:00,2,0,7,,True,False
2023-05-22T00:00:00,2,0,7,,True,False
2023-05-23T00:00:00,2,0,7,,True,False
2023-05-24T00:00:00,2,0,7,,True,False
2023-05-25T00:00:00,2,0,7,,True,False
2023-05-26T00:00:00,2,0,7,,True,False
2023-05-27T00:00:00,2,0,7,,True,False
2023-05-28T00:00:00,2,0,7,,True,False
2023-05-29T00:00:00,2,0,7,,True,False
2023-05-30T00:00:00,2,0,7,,True,False
2023-05-31T00:00:00,2,0,7,,True,False
2023-06-01T00:00:00,3,1,7,,True,False
2023-06-02T00:00:00,1,0,8,,True,False
2023-06-03T00:00:00,1,0,8,,True,False
2023-06-04T00:00:00,1,0,8,,True,False
2023-06-05T00:00:00,1,0,8,,True,False
2023-06-06T00:00:00,1,0,8,,True,False
2023-06-07T00:00:00,1,0,8,,True,False
2023-06-08T00:00:00,1,0,8,,True,False
2023-06-09T00:00:00,1,0,8,,True,False
2023-06-10T00:00:00,1,0,8,,True,False
2023-06-11T00:00:00,1,0,8,,True,False
2023-06-12T00:00:00,1,0,8,,True,False
2023-06-13T00:00:00,1,0,8,,True,False
2023-06-14T00:00:00,1,0,8,,True,False
2023-06-15T00:00:00,1,0,8,,True,False
2023-06-16T00:00:00,1,0,8,,True,False
2023-06-17T00:00:00,1,0,8,,True,False
2023-06-18T00:00:00,1,0,8,,True,False
2023-06-19T00:00:00,1,0,8,,True,False
2023-06-20T00:00:00,1,0,8,,True,False
2023-06-21T00:00:00,1,0,8,,True,False
2023-06-22T00:00:00,1,0,8,,True,False
2023-06-23T00:00:00,1,0,8,,True,False
2023-06-24T00:00:00,1,0,8,,True,False
2023-06-25T00:00:00,1,0,8,,True,False
2023-06-26T00:00:00,1,0,8,,True,False
2023-06-27T00:00:00,1,0,8,,True,False
2023-06-28T00:00:00,1,0,8,,True,False
2023-06-29T00:00:00,1,0,8,,True,False
2023-06-30T00:00:00,1,0,8,,True,False
2023-07-01T00:00:00,2,1,8,,True,False
2023-08-01T00:00:00,1,1,9,,False,False
2023-09-01T00:00:00,1,1,10,,False,False
2023-09-29T00:00:00,2,2,9,,False,False
2023-10-01T00:00:00,1,1,11,,False,False
2023-10-05T00:00:00,1,1,11,,False,False
2023-10-26T00:00:00,5,5,7,,False,False
2023-11-01T00:00:00,1,1,12,,False,False
2023-12-01T00:00:00,1,1,13,,False,False
2024-01-01T00:00:00,1,1,14,,False,False
2024-02-01T00:00:00,1,1,15,,False,False
2024-03-01T00:00:00,1,1,16,,False,False
2024-04-01T00:00:00,1,1,17,,False,False
2024-04-19T00:00:00,1,1,17,,False,False
2024-04-20T00:00:00,1,1,17,,False,False
2024-05-01T00:00:00,1,1,18,,False,False
2024-06-01T00:00:00,1,1,19,,False,False
2024-07-01T00:00:00,1,0,20,,False,True
2024-08-01T00:00:00,1,0,20,,False,True
2024-08-09T00:00:00,1,1,19,,False,False
2024-09-01T00:00:00,1,0,20,,False,True
2024-10-01T00:00:00,1,0,20,,False,True
2024-11-01T00:00:00,1,0,20,,False,True
2024-12-01T00:00:00,1,0,20,,False,True
2025-01-01T00:00:00,1,0,20,,False,True
2025-02-01T00:00:00,1,0,20,,False,True
2025-03-01T00:00:00,1,0,20,,False,True
2025-04-01T00:00:00,1,0,20,,False,True
2025-05-01T00:00:00,1,0,20,,False,True
2025-06-01T00:00:00,1,0,20,,False,True
2025-07-01T00:00:00,1,0,20,,False,True
2025-08-01T00:00:00,1,0,20,,False,True
2025-09-01T00:00:00,1,0,20,,False,True
2025-10-01T00:00:00,1,0,20,,False,True
2025-11-01T00:00:00,1,0,20,,False,True
2025-12-01T00:00:00,1,0,20,,False,True
2026-01-01T00:00:00,1,0,20,,False,True
2026-02-01T00:00:00,1,0,20,,False,True
2026-03-01T00:00:00,1,0,20,,False,True
2026-03-20T00:00:00,7,7,13,,False,False
2026-03-21T00:00:00,10,10,10,,False,False
2026-03-24T00:00:00,3,3,17,,False,False
2026-03-25T00:00:00,7,7,13,,False,False
2026-04-01T00:00:00,1,0,20,,False,True
2026-04-11T00:00:00,13,13,7,,False,False
2026-05-01T00:00:00,1,0,20,,False,True
2026-06-01T00:00:00,1,0,20,,False,True
2026-07-01T00:00:00,1,0,20,,False,True
