account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-887.6,RR1.00:19-20:16:62,77,383,165,217,-158.5,401.1,0,0,2,0.0,0.0,0,0.0,0.0,,-559.6,,1784.55,-887.6,1827.8,-672.2,
2,2020-02,2020-02-01 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-1254.55,RR1.00:19-20:16:62,46,222,92,129,-694.5,232.05,0,0,1,0.0,0.0,0,0.0,0.0,,-926.55,,1417.6,-1254.55,1460.85,-1039.15,
3,2020-03,2020-03-01 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-1513.4,RR1.00:19-20:16:62,17,69,25,43,-1114.0,71.4,0,0,0,0.0,0.0,0,0.0,0.0,,-1185.4,,1158.75,-1513.4,1202.0,-1298.0,
4,2020-03,2020-03-19 00:00:00,True,,,,,,12271,5126,7145,48014.5,12884.55,51,5,21,35029.94,34026.95,0,0.0,0.0,2021-05-01 00:00:00,100.01,50100.01,15253.3,-1481.45,15267.8,100.0,0.01
5,2020-03,2020-03-19 00:00:00,True,,,,,,12271,5126,7145,48014.5,12884.55,51,5,21,35029.94,34026.95,0,0.0,0.0,2021-05-01 00:00:00,100.01,50100.01,15253.3,-1481.45,15267.8,100.0,0.01
6,2020-04,2020-04-01 00:00:00,True,,,,,,12203,5098,7105,48098.5,12813.15,51,7,18,35185.34,34166.81,0,0.0,0.0,2021-04-01 00:00:00,100.01,50100.01,15408.7,-170.6,15423.2,100.0,0.01
7,2020-05,2020-05-01 00:00:00,False,2021-07-19 14:04:40,intratrade_excursion,92.45,RR1.00:12-13:127:477,444,2342,962,1379,2586.5,2458.05,0,0,14,0.0,0.0,0,0.0,0.0,,128.45,,3289.0,-125.1,3341.95,100.0,
8,2020-06,2020-06-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-720.35,RR1.00:18-19:79:342,276,1488,613,874,1023.5,1561.35,0,0,9,0.0,0.0,0,0.0,0.0,,-537.85,,1829.25,-1043.35,1853.8,-646.2,
9,2020-08,2020-08-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-607.95,RR1.00:18-19:79:342,215,1160,480,679,791.5,1216.95,0,0,7,0.0,0.0,0,0.0,0.0,,-425.45,,1941.65,-619.3,1966.2,-533.8,
10,2020-09,2020-09-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-936.05,RR1.00:18-19:79:342,184,992,408,583,287.0,1040.55,0,0,6,0.0,0.0,0,0.0,0.0,,-753.55,,1613.55,-947.4,1638.1,-861.9,
11,2020-10,2020-10-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-1213.5,RR1.00:18-19:79:342,154,841,338,502,-149.0,882.0,0,0,5,0.0,0.0,0,0.0,0.0,,-1031.0,,1336.1,-1224.85,1360.65,-1139.35,
12,2020-11,2020-11-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-1366.95,RR1.00:18-19:79:342,123,670,266,403,-482.0,702.45,0,0,4,0.0,0.0,0,0.0,0.0,,-1184.45,,1182.65,-1366.95,1207.2,-1292.8,
13,2021-01,2021-01-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1146.5,RR1.00:21-22:111:386,62,341,140,200,-599.5,357.0,0,0,2,0.0,0.0,0,0.0,0.0,,-956.5,,1294.7,-1146.5,1370.25,-1129.75,
14,2021-02,2021-02-01 00:00:00,False,2021-06-07 12:10:40,intratrade_excursion,-905.05,RR1.00:11-12:107:474,126,672,266,405,-155.0,704.55,0,0,4,0.0,0.0,0,0.0,0.0,,-859.55,,1574.4,-1330.05,1627.35,-872.65,
15,2021-03,2021-03-01 00:00:00,False,2021-06-07 12:10:40,intratrade_excursion,-278.05,RR1.00:11-12:107:474,98,512,203,308,304.0,536.55,0,0,3,0.0,0.0,0,0.0,0.0,,-232.55,,2201.4,-703.05,2254.35,-245.65,
