months,budget,gap,left,right,left_episodes,right_episodes,shared,left_only,right_only,jaccard,reciprocal,shared_ids,left_only_ids,right_only_ids
6,1500,40,RR:2.00,GG:1.75,2,6,2,0,4,0.3333333333333333,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:2.00,2,7,2,0,5,0.2857142857142857,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:2.25,2,7,2,0,5,0.2857142857142857,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:2.50,2,7,2,0,5,0.2857142857142857,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:2.75,2,7,2,0,5,0.2857142857142857,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:3.00,2,6,2,0,4,0.3333333333333333,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:3.25,2,6,2,0,4,0.3333333333333333,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e09
6,1500,40,RR:2.00,GG:3.50,2,6,2,0,4,0.3333333333333333,False,6m_b1500_g40_e08;6m_b1500_g40_e12,,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e09
6,1500,40,RR:2.25,GG:0.50,3,7,2,1,5,0.25,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e11
6,1500,40,RR:2.25,GG:0.75,3,7,2,1,5,0.25,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e10
6,1500,40,RR:2.25,GG:1.00,3,5,2,1,3,0.3333333333333333,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:2.25,GG:1.25,3,4,2,1,2,0.4,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:2.25,GG:1.50,3,4,2,1,2,0.4,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
