case,account_id,rr,activated_at,alive,died_at,death_trade_key,trades,balance,headroom,received,trade_keys_sha256
2020-05__daily_minimum,10,2.50,2021-02-01T00:00:00,False,2021-05-19T20:30:00,RR2.50:16-17:202:552,322,25162.95,62.95,0.0,06f2bb50bbec3e8d79d931ed940143ff9c1eee5027b29d89f76ed5524d2f84ef
2020-05__daily_minimum,11,0.50,2021-03-01T00:00:00,False,2021-05-13T10:31:00,RR0.50:9-10:108:435,321,24430.0,62.5,0.0,ef2289360c480e7494e49415419129534163a8d14840114b802c71ed73a618c8
2020-05__daily_minimum,12,2.50,2021-04-01T00:00:00,False,2021-05-13T10:49:20,RR2.50:1-2:102:369,131,24529.5,11.8,0.0,8e85fcabb2bd2331b5e5ab2aace460f61b0a3fa026c2f490a998a98bf8d25565
2020-05__daily_minimum,13,0.50,2021-05-01T00:00:00,False,2021-05-18T22:53:40,RR0.50:22-23:110:423,77,23676.2,24.9,0.0,24a9efd6fce151ea507329d1ce27476c21263035fedd2f1b69661de05ee153f8
2020-05__daily_minimum,14,2.50,2021-06-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,398,24914.65,111.4,0.0,bff8ae2d0758673f3ea28cf9cfbc41f434b92235d8a795f29418101f5bcd53b6
2020-05__daily_minimum,15,0.50,2021-07-01T00:00:00,False,2021-12-03T23:00:00,RR0.50:22-23:164:611,679,25142.6,42.6,0.0,eebc3ca7bcac6f1af6d66145e057dbafa73394240bb22da485b1b8ac5e7a0831
2020-05__daily_minimum,16,2.50,2021-08-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,195,24587.8,111.4,0.0,020e738c34579014eeb3dec8a82b75e0e02467a449c4e8a1f092e40b823f74f5
2020-05__daily_minimum,17,0.50,2021-09-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,415,25230.3,130.3,0.0,6f97985306ec9c34d929c97b06bf8507beb141aa8de9f52f2aebbcc30ae2d260
2020-05__daily_minimum,18,2.50,2021-10-01T00:00:00,True,,,5496,34334.2,9234.2,25000.0,bd75918dee8b314229ff4c8f9bb3b15cac62903d9714776a27aee3b2d0a7da4b
2020-05__daily_minimum,19,0.50,2021-11-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,154,24253.85,119.85,0.0,9f2c37a7eb64f63a153a6bcf7ac080c470939f8d2a6a9b2ef50a979439fccaef
2020-05__daily_minimum,20,2.50,2021-12-01T00:00:00,False,2022-01-07T15:38:40,RR2.50:11-12:155:669,128,23679.65,82.2,0.0,8d1e571718658db2123f4c5701b5fad71b8ded7ef8ab4fc31be066e88a5e0bc5
2020-05__daily_minimum,21,0.50,2022-01-01T00:00:00,True,,,7373,32338.35,7238.35,15000.0,679299f2e8ac43951001124fe08a08bed90c5eda5aeab66adb38975b5c3c56e9
2020-05__daily_minimum,22,2.50,2022-02-01T00:00:00,False,2022-05-12T08:23:40,RR2.50:3-4:205:767,311,25129.0,29.0,0.0,2fb813898c14a2f84b4f3c483947f1ec0b75b9016127689401a318fe2c93d61c
2020-05__daily_minimum,23,0.50,2022-03-01T00:00:00,False,2022-05-02T21:15:40,RR0.50:21-22:206:732,297,24824.7,147.85,0.0,78376c30c40461e60b50f0185e0be1e779944ef1c08f7c93f87a011482915186
2020-05__daily_minimum,24,2.50,2022-04-01T00:00:00,False,2022-05-03T23:30:00,RR2.50:18-19:159:716,106,24377.25,48.25,0.0,2a1542733fdd039cdbf46722acf9b405031fa99aedf32f588484b66a2f213212
2020-05__daily_minimum,25,0.50,2022-05-01T00:00:00,False,2022-05-12T11:45:40,RR0.50:10-11:201:774,56,24060.25,137.6,0.0,bf0111d0e40250c5122fc84853803217cfecae415d4450cb3a4747c8a2b31510
2020-05__daily_minimum,26,2.50,2022-06-01T00:00:00,False,2022-06-13T17:11:40,RR2.50:15-16:254:886,49,23618.1,3.65,0.0,863e537fb0c47a1ce0a3eb27053cd37d7b599a453051e4ce2e0afe92fa60a729
2020-05__daily_minimum,27,0.50,2022-07-01T00:00:00,True,,,6548,32237.6,7137.6,14000.0,49d57db63d00a59d474e4e77f322bad91ca4721bd7ddd4a65f7b69aa2c88d23f
2020-05__daily_minimum,28,2.50,2022-08-01T00:00:00,False,2022-09-05T08:58:40,RR2.50:4-5:228:901,119,24650.6,23.4,0.0,aac95e43ea6918d7a4f055fcd0ee20d21e726c58e992c3ffc8b5587fb21fddfc
2020-05__daily_minimum,29,0.50,2022-09-01T00:00:00,False,2022-11-04T17:51:40,RR0.50:16-17:408:1135,301,24405.5,62.9,0.0,b05eabc70068fae4e064a81091922947220081ee58eea294fa2416d75db977d8
2020-05__daily_minimum,30,2.50,2022-10-01T00:00:00,False,2022-11-04T17:51:40,RR2.50:16-17:408:1135,119,24937.1,96.7,0.0,54c9cab715964988721f7801f17ac77af51e0621a2711d59903baac152b7c25e
2020-05__daily_minimum,31,0.50,2022-11-01T00:00:00,False,2023-02-27T21:00:00,RR0.50:19-20:228:984,491,23585.5,16.7,0.0,c6cf3ac1f2a13e7df8da45e7d53ee9adaf372d017164055fc6c7870803b1a8dd
2020-05__daily_minimum,32,2.50,2022-12-01T00:00:00,False,2023-01-05T22:50:40,RR2.50:17-18:182:910,108,23946.15,57.9,0.0,971e534a2538aff3a26a0f7fe2ba8fa9bb4360ff76d47520880571c405e3113f
2020-05__daily_minimum,33,0.50,2023-01-01T00:00:00,False,2023-03-01T23:30:00,RR0.50:18-19:231:1001,236,24442.25,43.8,0.0,cc4561b3943971c912e1aaab17fed13a035117cff1c329890605f2783494f57e
2020-05__daily_minimum,34,2.50,2023-02-01T00:00:00,True,,,3955,34440.75,9340.75,22000.0,2dcedfc2a5f3609cf4ca7e2564ec219ffd080eab833f482f21632bc1656042b6
2020-05__daily_minimum,35,0.50,2023-03-01T00:00:00,False,2023-10-18T20:30:00,RR0.50:20-21:305:1152,1085,25101.8,1.8,0.0,fd49a37ab6884c92b1c742db9cc146d04695fa4bafb2b0de8e201fa33da23cda
2020-05__daily_minimum,36,2.50,2023-04-01T00:00:00,True,,,3783,34271.35,9171.35,20500.0,1da7ed22e0069ae58661a458837bfd9d77154a35b730f023ed5e2ac1f5a33c31
2020-05__daily_minimum,37,0.50,2023-05-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,753,23935.4,16.45,0.0,e05d36c096728d605e64b31d585e8ffdf770196f45df5317c8b560ba39b090c9
2020-05__daily_minimum,38,2.50,2023-06-01T00:00:00,True,,,3564,34579.3,9479.3,20000.0,7e638d58fb39eaee3f768bfd20afadc2f06bfa497a64c1f6e78c7da0ba04722e
2020-05__daily_minimum,39,0.50,2023-07-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,454,24356.85,16.45,0.0,975714141063d0b8f33ef2fe5ccd413b818c445a17a5568ff14621ec59e78075
2020-05__daily_minimum,40,2.50,2023-08-01T00:00:00,False,2023-10-24T03:17:40,RR2.50:2-3:362:1334,294,25039.85,9.05,0.0,e4a5d926874cc4a86dc153f792996229b1d70b96408d2bf59b5404eaee0b54dd
2020-05__daily_minimum,41,0.50,2023-09-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,164,23909.85,16.45,0.0,65d76bce6f82a04173572ca04b20322ff5f71e94c370ccb134e5ba67c8b64216
2020-05__daily_minimum,42,2.50,2023-10-01T00:00:00,False,2023-10-26T16:30:00,RR2.50:10-11:345:1298,92,23793.45,6.2,0.0,1e5d4433583aecc9118f836c3888afe0d0f044d2a479acc0c9eaeceb6d096f58
2020-05__daily_minimum,43,0.50,2023-11-01T00:00:00,True,,,4359,32555.05,7455.05,13000.0,32ae2ebab96076474baabc5ebbd56a1f4a8cb2e2b3c2bac6c719c91890f04630
2020-05__daily_minimum,44,2.50,2023-12-01T00:00:00,True,,,2962,34135.9,9035.9,19000.0,25b7397a2323b5728c83943de0eef587cf23c844c1fe83f2bad2d75c4ff43e89
2020-05__daily_minimum,45,0.50,2024-01-01T00:00:00,True,,,4094,32326.8,7226.8,12500.0,b8b52ea84ab0f9032e67b30bd3a2f42316cc091225db821b8e567da293f6c6ae
2020-05__daily_minimum,46,2.50,2024-02-01T00:00:00,True,,,2759,34209.05,9109.05,17500.0,3db71e26dab16576fa2528cf2132fb60d7f0f7bd222ff11840119d2a4727a977
2020-05__daily_minimum,47,0.50,2024-03-01T00:00:00,False,2024-04-18T21:33:40,RR0.50:21-22:378:1366,200,25164.05,90.25,0.0,069e0c725f4ce20d6aa407caa5f751704b7c5a3a5f2093d54a44a4cdac17ea26
2020-05__daily_minimum,48,2.50,2024-04-01T00:00:00,False,2024-04-18T20:24:40,RR2.50:17-18:255:1298,64,24360.85,171.8,0.0,06cbd04c25f7284812dbd7afcf335924d98515bdfcbfa9e8bc8cc9005004331a
2020-05__daily_minimum,49,0.50,2024-05-01T00:00:00,True,,,3564,32323.3,7223.3,11500.0,01a875c4577ee57d10efeaa59c0d8823b2209664e5979b32a02d3ff190ecae25
2020-05__daily_minimum,50,2.50,2024-06-01T00:00:00,False,2024-07-26T13:58:40,RR2.50:13-14:414:1560,177,25116.7,16.7,0.0,f28e1925ce4cd4f0292008005d754a9617c2f63953d13a251d5ed17d217800e7
2020-05__daily_minimum,51,0.50,2024-07-01T00:00:00,False,2024-07-25T16:57:40,RR0.50:11-12:334:1461,119,24014.6,103.8,0.0,fc7352f53885dca0cf08d89f25e08e9dda234534c9be5eb0a590d92193232442
2020-05__daily_minimum,52,2.50,2024-08-01T00:00:00,False,2024-08-08T08:38:40,RR2.50:8-9:453:1593,21,23604.0,26.55,0.0,e5675ad911bc4e095be69efc7fc711e62df417c4c0e8f543015471eb09ae0aaa
2020-05__daily_minimum,53,0.50,2024-09-01T00:00:00,True,,,3011,32495.95,7395.95,8000.0,cf28b196608b085c29d25fe27c747a468a71d20037efe04cee60f6b5418b0537
2020-05__daily_minimum,54,2.50,2024-10-01T00:00:00,True,,,2022,33487.9,8387.9,13500.0,c40a3d29aec52b7da57ed9a81fc82bcf0ce182905ec3ea876078baba12b2e8f7
2020-05__daily_minimum,55,0.50,2024-11-01T00:00:00,True,,,2730,32782.5,7682.5,6000.0,2989f128e6005eca8d9ca1ff2de96cda61f7ce5c5386120cf69fb9f9c7b00ae5
2020-05__daily_minimum,56,2.50,2024-12-01T00:00:00,True,,,1838,33321.6,8221.6,12000.0,5dd2657d3004e674c46f402d6b9d9e4040f08d3ab9403d383eb4395ba6630c4d
2020-05__daily_minimum,57,0.50,2025-01-01T00:00:00,False,2025-03-10T19:02:40,RR0.50:17-18:314:1584,298,25423.15,323.15,0.0,858b671b2f002c9ec882a5fa19b91fd2c5b159366279219c5d0eb021491a3e05
2020-05__daily_minimum,58,2.50,2025-02-01T00:00:00,False,2025-02-27T21:14:40,RR2.50:20-21:404:1545,88,25037.15,99.2,0.0,7a2e512a81a3ed543d7833835a2292da429f4d87ad7cda580a9ab95343512376
2020-05__daily_minimum,59,0.50,2025-03-01T00:00:00,False,2025-03-10T19:02:40,RR0.50:17-18:314:1584,38,23665.65,79.7,0.0,d3f4a831fdaa46c7aa89c07dba6efad6603de6e929b89f67edcb6e6d7060f3c0
2020-05__daily_minimum,60,2.50,2025-04-01T00:00:00,False,2025-04-04T13:09:40,RR2.50:8-9:516:1820,19,24548.6,72.05,0.0,a70427b03cec2d05ff324448f39178b7d1d73cdbeacf94b95612003b439b0e01
2020-05__daily_minimum,61,0.50,2025-05-01T00:00:00,True,,,1966,31805.7,6705.7,1500.0,4c0dd6a582ec83a0e441ab07543e77cfee4922664974e6dc99959ddfbf458ead
2020-05__daily_minimum,62,2.50,2025-06-01T00:00:00,True,,,1302,32806.4,7706.4,3500.0,0bdb85a6f8c2170e8d42379a7ba9cdc560c8bfdedba2f59f8198fde5c9e8130e
2020-05__daily_maximum,1,0.50,2020-05-01T00:00:00,False,2021-02-23T22:30:00,RR0.50:17-18:77:349,1290,25218.55,118.55,0.0,58eaa9eeea2bb29c2adfd1bf36153b40f92c7d508be0516d27002e3c3d4d572a
2020-05__daily_maximum,2,2.50,2020-06-01T00:00:00,False,2020-06-26T22:52:40,RR2.50:22-23:35:142,88,23904.6,-0.6,0.0,f6b4bd0a852d9207af262bbcacd8c462b77ed4b96f3d2479f1ee386071875c66
2020-05__daily_maximum,3,0.50,2020-07-01T00:00:00,False,2021-02-22T20:30:00,RR0.50:19-20:89:360,1023,25109.9,9.9,0.0,43cadc8ed890cf9ccdfdf061bb2caca09bff5b3a61b04d04b95e856098f2dc77
2020-05__daily_maximum,4,2.50,2020-08-01T00:00:00,True,,,6818,31882.05,6782.05,29470.35,ff8cc149ef861cced6b35a4e1d5d4050115a2839fd33293119b1ee12ad8d03c3
2020-05__daily_maximum,5,0.50,2020-09-01T00:00:00,False,2020-12-31T16:42:40,RR0.50:16-17:151:411,529,24778.1,19.1,0.0,5d990d8ca20a7ad6c64e82cd75d4f4eb14fdf343533f2d2a342e174832db2d49
2020-05__daily_maximum,6,2.50,2020-10-01T00:00:00,True,,,6624,31882.05,6782.05,28437.78,190c62438031fb5f8806e29decc33a2372c9e2f693ff0e913a4c8a3b6d515b9b
2020-05__daily_maximum,7,0.50,2020-11-01T00:00:00,False,2020-12-31T16:42:40,RR0.50:16-17:151:411,260,24097.05,19.1,0.0,6a08e77695a07bd9322e199fb04e0b58a95c7d13c5074d1fa5d744afe7cead9e
2020-05__daily_maximum,8,2.50,2020-12-01T00:00:00,True,,,6445,31882.05,6782.05,27506.68,a5e1ee60b38177f5f9c53712313fac27ed284dfc0e7a9e4f1c66b4844917df4c
2020-05__daily_maximum,9,0.50,2021-01-01T00:00:00,False,2021-03-08T15:30:00,RR0.50:13-14:111:411,285,24129.8,53.7,0.0,287bc13573796c1b1a15fab235c804fc1f63eeaf9c62138dc5f09ae3b15a2a7a
2020-05__daily_maximum,10,2.50,2021-02-01T00:00:00,False,2021-05-19T20:30:00,RR2.50:16-17:202:552,322,25162.95,62.95,0.0,06f2bb50bbec3e8d79d931ed940143ff9c1eee5027b29d89f76ed5524d2f84ef
2020-05__daily_maximum,11,0.50,2021-03-01T00:00:00,False,2021-05-13T10:31:00,RR0.50:9-10:108:435,321,24430.0,62.5,0.0,ef2289360c480e7494e49415419129534163a8d14840114b802c71ed73a618c8
2020-05__daily_maximum,12,2.50,2021-04-01T00:00:00,False,2021-05-13T10:49:20,RR2.50:1-2:102:369,131,24529.5,11.8,0.0,8e85fcabb2bd2331b5e5ab2aace460f61b0a3fa026c2f490a998a98bf8d25565
2020-05__daily_maximum,13,0.50,2021-05-01T00:00:00,False,2021-05-18T22:53:40,RR0.50:22-23:110:423,77,23676.2,24.9,0.0,24a9efd6fce151ea507329d1ce27476c21263035fedd2f1b69661de05ee153f8
2020-05__daily_maximum,14,2.50,2021-06-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,398,24914.65,111.4,0.0,bff8ae2d0758673f3ea28cf9cfbc41f434b92235d8a795f29418101f5bcd53b6
2020-05__daily_maximum,15,0.50,2021-07-01T00:00:00,False,2021-12-03T23:00:00,RR0.50:22-23:164:611,679,25142.6,42.6,0.0,eebc3ca7bcac6f1af6d66145e057dbafa73394240bb22da485b1b8ac5e7a0831
2020-05__daily_maximum,16,2.50,2021-08-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,195,24587.8,111.4,0.0,020e738c34579014eeb3dec8a82b75e0e02467a449c4e8a1f092e40b823f74f5
2020-05__daily_maximum,17,0.50,2021-09-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,415,25230.3,130.3,0.0,6f97985306ec9c34d929c97b06bf8507beb141aa8de9f52f2aebbcc30ae2d260
2020-05__daily_maximum,18,2.50,2021-10-01T00:00:00,True,,,5496,31882.05,6782.05,27206.94,bd75918dee8b314229ff4c8f9bb3b15cac62903d9714776a27aee3b2d0a7da4b
2020-05__daily_maximum,19,0.50,2021-11-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,154,24253.85,119.85,0.0,9f2c37a7eb64f63a153a6bcf7ac080c470939f8d2a6a9b2ef50a979439fccaef
2020-05__daily_maximum,20,2.50,2021-12-01T00:00:00,False,2022-01-07T15:38:40,RR2.50:11-12:155:669,128,23679.65,82.2,0.0,8d1e571718658db2123f4c5701b5fad71b8ded7ef8ab4fc31be066e88a5e0bc5
2020-05__daily_maximum,21,0.50,2022-01-01T00:00:00,True,,,7373,30247.25,5147.25,17091.1,679299f2e8ac43951001124fe08a08bed90c5eda5aeab66adb38975b5c3c56e9
2020-05__daily_maximum,22,2.50,2022-02-01T00:00:00,False,2022-05-12T08:23:40,RR2.50:3-4:205:767,311,25129.0,29.0,0.0,2fb813898c14a2f84b4f3c483947f1ec0b75b9016127689401a318fe2c93d61c
2020-05__daily_maximum,23,0.50,2022-03-01T00:00:00,False,2022-05-02T21:15:40,RR0.50:21-22:206:732,297,24824.7,147.85,0.0,78376c30c40461e60b50f0185e0be1e779944ef1c08f7c93f87a011482915186
2020-05__daily_maximum,24,2.50,2022-04-01T00:00:00,False,2022-05-03T23:30:00,RR2.50:18-19:159:716,106,24377.25,48.25,0.0,2a1542733fdd039cdbf46722acf9b405031fa99aedf32f588484b66a2f213212
2020-05__daily_maximum,25,0.50,2022-05-01T00:00:00,False,2022-05-12T11:45:40,RR0.50:10-11:201:774,56,24060.25,137.6,0.0,bf0111d0e40250c5122fc84853803217cfecae415d4450cb3a4747c8a2b31510
2020-05__daily_maximum,26,2.50,2022-06-01T00:00:00,False,2022-06-13T17:11:40,RR2.50:15-16:254:886,49,23618.1,3.65,0.0,863e537fb0c47a1ce0a3eb27053cd37d7b599a453051e4ce2e0afe92fa60a729
2020-05__daily_maximum,27,0.50,2022-07-01T00:00:00,True,,,6548,30247.25,5147.25,15990.35,49d57db63d00a59d474e4e77f322bad91ca4721bd7ddd4a65f7b69aa2c88d23f
2020-05__daily_maximum,28,2.50,2022-08-01T00:00:00,False,2022-09-05T08:58:40,RR2.50:4-5:228:901,119,24650.6,23.4,0.0,aac95e43ea6918d7a4f055fcd0ee20d21e726c58e992c3ffc8b5587fb21fddfc
2020-05__daily_maximum,29,0.50,2022-09-01T00:00:00,False,2022-11-04T17:51:40,RR0.50:16-17:408:1135,301,24405.5,62.9,0.0,b05eabc70068fae4e064a81091922947220081ee58eea294fa2416d75db977d8
2020-05__daily_maximum,30,2.50,2022-10-01T00:00:00,False,2022-11-04T17:51:40,RR2.50:16-17:408:1135,119,24937.1,96.7,0.0,54c9cab715964988721f7801f17ac77af51e0621a2711d59903baac152b7c25e
2020-05__daily_maximum,31,0.50,2022-11-01T00:00:00,False,2023-02-27T21:00:00,RR0.50:19-20:228:984,491,23585.5,16.7,0.0,c6cf3ac1f2a13e7df8da45e7d53ee9adaf372d017164055fc6c7870803b1a8dd
2020-05__daily_maximum,32,2.50,2022-12-01T00:00:00,False,2023-01-05T22:50:40,RR2.50:17-18:182:910,108,23946.15,57.9,0.0,971e534a2538aff3a26a0f7fe2ba8fa9bb4360ff76d47520880571c405e3113f
2020-05__daily_maximum,33,0.50,2023-01-01T00:00:00,False,2023-03-01T23:30:00,RR0.50:18-19:231:1001,236,24442.25,43.8,0.0,cc4561b3943971c912e1aaab17fed13a035117cff1c329890605f2783494f57e
2020-05__daily_maximum,34,2.50,2023-02-01T00:00:00,True,,,3955,31882.05,6782.05,24558.7,2dcedfc2a5f3609cf4ca7e2564ec219ffd080eab833f482f21632bc1656042b6
2020-05__daily_maximum,35,0.50,2023-03-01T00:00:00,False,2023-10-18T20:30:00,RR0.50:20-21:305:1152,1085,25101.8,1.8,0.0,fd49a37ab6884c92b1c742db9cc146d04695fa4bafb2b0de8e201fa33da23cda
2020-05__daily_maximum,36,2.50,2023-04-01T00:00:00,True,,,3783,31882.05,6782.05,22889.3,1da7ed22e0069ae58661a458837bfd9d77154a35b730f023ed5e2ac1f5a33c31
2020-05__daily_maximum,37,0.50,2023-05-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,753,23935.4,16.45,0.0,e05d36c096728d605e64b31d585e8ffdf770196f45df5317c8b560ba39b090c9
2020-05__daily_maximum,38,2.50,2023-06-01T00:00:00,True,,,3564,31882.05,6782.05,22697.25,7e638d58fb39eaee3f768bfd20afadc2f06bfa497a64c1f6e78c7da0ba04722e
2020-05__daily_maximum,39,0.50,2023-07-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,454,24356.85,16.45,0.0,975714141063d0b8f33ef2fe5ccd413b818c445a17a5568ff14621ec59e78075
2020-05__daily_maximum,40,2.50,2023-08-01T00:00:00,False,2023-10-24T03:17:40,RR2.50:2-3:362:1334,294,25039.85,9.05,0.0,e4a5d926874cc4a86dc153f792996229b1d70b96408d2bf59b5404eaee0b54dd
2020-05__daily_maximum,41,0.50,2023-09-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,164,23909.85,16.45,0.0,65d76bce6f82a04173572ca04b20322ff5f71e94c370ccb134e5ba67c8b64216
2020-05__daily_maximum,42,2.50,2023-10-01T00:00:00,False,2023-10-26T16:30:00,RR2.50:10-11:345:1298,92,23793.45,6.2,0.0,1e5d4433583aecc9118f836c3888afe0d0f044d2a479acc0c9eaeceb6d096f58
2020-05__daily_maximum,43,0.50,2023-11-01T00:00:00,True,,,4359,30247.25,5147.25,15307.8,32ae2ebab96076474baabc5ebbd56a1f4a8cb2e2b3c2bac6c719c91890f04630
2020-05__daily_maximum,44,2.50,2023-12-01T00:00:00,True,,,2962,31882.05,6782.05,21253.85,25b7397a2323b5728c83943de0eef587cf23c844c1fe83f2bad2d75c4ff43e89
2020-05__daily_maximum,45,0.50,2024-01-01T00:00:00,True,,,4094,30247.25,5147.25,14579.55,b8b52ea84ab0f9032e67b30bd3a2f42316cc091225db821b8e567da293f6c6ae
2020-05__daily_maximum,46,2.50,2024-02-01T00:00:00,True,,,2759,31882.05,6782.05,19827.0,3db71e26dab16576fa2528cf2132fb60d7f0f7bd222ff11840119d2a4727a977
2020-05__daily_maximum,47,0.50,2024-03-01T00:00:00,False,2024-04-18T21:33:40,RR0.50:21-22:378:1366,200,25164.05,90.25,0.0,069e0c725f4ce20d6aa407caa5f751704b7c5a3a5f2093d54a44a4cdac17ea26
2020-05__daily_maximum,48,2.50,2024-04-01T00:00:00,False,2024-04-18T20:24:40,RR2.50:17-18:255:1298,64,24360.85,171.8,0.0,06cbd04c25f7284812dbd7afcf335924d98515bdfcbfa9e8bc8cc9005004331a
2020-05__daily_maximum,49,0.50,2024-05-01T00:00:00,True,,,3564,30247.25,5147.25,13576.05,01a875c4577ee57d10efeaa59c0d8823b2209664e5979b32a02d3ff190ecae25
2020-05__daily_maximum,50,2.50,2024-06-01T00:00:00,False,2024-07-26T13:58:40,RR2.50:13-14:414:1560,177,25116.7,16.7,0.0,f28e1925ce4cd4f0292008005d754a9617c2f63953d13a251d5ed17d217800e7
2020-05__daily_maximum,51,0.50,2024-07-01T00:00:00,False,2024-07-25T16:57:40,RR0.50:11-12:334:1461,119,24014.6,103.8,0.0,fc7352f53885dca0cf08d89f25e08e9dda234534c9be5eb0a590d92193232442
2020-05__daily_maximum,52,2.50,2024-08-01T00:00:00,False,2024-08-08T08:38:40,RR2.50:8-9:453:1593,21,23604.0,26.55,0.0,e5675ad911bc4e095be69efc7fc711e62df417c4c0e8f543015471eb09ae0aaa
2020-05__daily_maximum,53,0.50,2024-09-01T00:00:00,True,,,3011,30247.25,5147.25,10248.7,cf28b196608b085c29d25fe27c747a468a71d20037efe04cee60f6b5418b0537
2020-05__daily_maximum,54,2.50,2024-10-01T00:00:00,True,,,2022,31882.05,6782.05,15105.85,c40a3d29aec52b7da57ed9a81fc82bcf0ce182905ec3ea876078baba12b2e8f7
2020-05__daily_maximum,55,0.50,2024-11-01T00:00:00,True,,,2730,30247.25,5147.25,8535.25,2989f128e6005eca8d9ca1ff2de96cda61f7ce5c5386120cf69fb9f9c7b00ae5
2020-05__daily_maximum,56,2.50,2024-12-01T00:00:00,True,,,1838,31882.05,6782.05,13439.55,5dd2657d3004e674c46f402d6b9d9e4040f08d3ab9403d383eb4395ba6630c4d
2020-05__daily_maximum,57,0.50,2025-01-01T00:00:00,False,2025-03-10T19:02:40,RR0.50:17-18:314:1584,298,25423.15,323.15,0.0,858b671b2f002c9ec882a5fa19b91fd2c5b159366279219c5d0eb021491a3e05
2020-05__daily_maximum,58,2.50,2025-02-01T00:00:00,False,2025-02-27T21:14:40,RR2.50:20-21:404:1545,88,25037.15,99.2,0.0,7a2e512a81a3ed543d7833835a2292da429f4d87ad7cda580a9ab95343512376
2020-05__daily_maximum,59,0.50,2025-03-01T00:00:00,False,2025-03-10T19:02:40,RR0.50:17-18:314:1584,38,23665.65,79.7,0.0,d3f4a831fdaa46c7aa89c07dba6efad6603de6e929b89f67edcb6e6d7060f3c0
2020-05__daily_maximum,60,2.50,2025-04-01T00:00:00,False,2025-04-04T13:09:40,RR2.50:8-9:516:1820,19,24548.6,72.05,0.0,a70427b03cec2d05ff324448f39178b7d1d73cdbeacf94b95612003b439b0e01
2020-05__daily_maximum,61,0.50,2025-05-01T00:00:00,True,,,1966,30247.25,5147.25,3058.45,4c0dd6a582ec83a0e441ab07543e77cfee4922664974e6dc99959ddfbf458ead
2020-05__daily_maximum,62,2.50,2025-06-01T00:00:00,True,,,1302,31076.0,5976.0,5230.4,0bdb85a6f8c2170e8d42379a7ba9cdc560c8bfdedba2f59f8198fde5c9e8130e
2020-06__daily_minimum,1,0.50,2020-06-01T00:00:00,False,2021-01-15T12:57:40,RR0.50:12-13:86:327,989,25121.6,21.6,0.0,fa088bb336e1f8077aa88e92bd2c897dc54d35a13ecd14f954394e0e6f332f62
2020-06__daily_minimum,2,2.50,2020-07-01T00:00:00,True,,,6912,34357.4,9257.4,28600.0,8d637646cfbcf2eb41b1f108369d398242cdd9a6fbc889fa1a5d5c18737c4538
2020-06__daily_minimum,3,0.50,2020-08-01T00:00:00,False,2021-01-15T17:04:40,RR0.50:16-17:156:426,726,25101.25,1.25,0.0,171ae61b1591b95c4b6f218b54425e5d0c3cabd196442238d345e633e18c3553
2020-06__daily_minimum,4,2.50,2020-09-01T00:00:00,True,,,6724,34217.3,9117.3,27250.0,91caab0dbd7aa7812cf41063edb29c71ee2d3c0fedb14f2193e8abccffd042d0
2020-06__daily_minimum,5,0.50,2020-10-01T00:00:00,False,2020-12-31T16:42:40,RR0.50:16-17:151:411,397,24351.2,19.1,0.0,36e0834ec93f66b01c5978c0b317cbd68e408d94ddc8e9089444dd7dac24d74c
2020-06__daily_minimum,6,2.50,2020-11-01T00:00:00,True,,,6533,34269.35,9169.35,25900.0,8cb21468d459499294cac60d7c6c8ab00e67bc7da7c921e010fc1659ab4b07c2
2020-06__daily_minimum,7,0.50,2020-12-01T00:00:00,False,2021-02-23T22:30:00,RR0.50:17-18:77:349,365,23917.8,187.6,0.0,07d18d02840b57f5632837e2b13c1e479f6882ae3410a4b7781ee915a6937635
2020-06__daily_minimum,8,2.50,2021-01-01T00:00:00,False,2021-10-01T15:30:00,RR2.50:12-13:140:543,854,25119.85,19.85,0.0,99b6873eb95e0a3cb4148115185ec84e008865a86d2746a5c91d306eea1a3d8f
2020-06__daily_minimum,9,0.50,2021-02-01T00:00:00,False,2021-05-13T10:31:00,RR0.50:9-10:108:435,444,24396.85,62.5,0.0,807a963b07cca5abebbe72bef89c4f6d03c1cc38936028864331ec59c194024f
2020-06__daily_minimum,10,2.50,2021-03-01T00:00:00,False,2021-05-13T10:49:20,RR2.50:1-2:102:369,214,25040.35,11.8,0.0,8eb5087f30eda9b324ec49fe3900313da0230d3fc459aa106866679b90a4c27b
