at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-02-14 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,2,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,6,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,7,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,8,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,9,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,10,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,11,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,12,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,13,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,14,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,15,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,16,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,17,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,18,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,19,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-02-14 00:00:00,20,2023-01,1,500.0,500.0,500.0,500.0,30608.1,30108.1,0.0,
2024-03-21 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,2,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,6,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,7,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,8,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,9,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,10,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
2024-03-21 00:00:00,11,2023-01,2,500.0,500.0,500.0,500.0,30530.4,30030.4,0.0,
