account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,True,,,540,741.0,567.0,174.0,0.0,0.0,0
2,2023-01-01 00:00:00,True,,,1454,10249.5,1526.7,7222.8,1500.0,1500.0,3
3,2023-01-01 00:00:00,True,,,4562,21440.0,4790.1,149.9,16500.0,16500.0,33
4,2023-01-01 00:00:00,True,,,192,-378.0,201.6,-579.6,0.0,0.0,0
5,2023-01-01 00:00:00,True,,,184,1030.5,193.2,837.3,0.0,0.0,0
