at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,1000,1000.0
2020-01-06T00:00:00,account_purchase,-200.0,800.0
2020-01-13T00:00:00,account_purchase,-200.0,600.0
2020-01-20T00:00:00,account_purchase,-200.0,400.0
2020-01-27T00:00:00,account_purchase,-200.0,200.0
2020-02-01T00:00:00,owner_contribution,200,400.0
2020-02-03T00:00:00,account_purchase,-200.0,200.0
2020-02-10T00:00:00,account_purchase,-200.0,0.0
2020-03-01T00:00:00,owner_contribution,200,200.0
2020-03-02T00:00:00,account_purchase,-200.0,0.0
2020-04-01T00:00:00,owner_contribution,200,200.0
2020-04-06T00:00:00,account_purchase,-200.0,0.0
2020-05-01T00:00:00,owner_contribution,200,200.0
2020-05-04T00:00:00,account_purchase,-200.0,0.0
2020-06-01T00:00:00,owner_contribution,200,200.0
2020-06-01T00:00:00,account_purchase,-200.0,0.0
2020-07-01T00:00:00,owner_contribution,200,200.0
2020-07-06T00:00:00,account_purchase,-200.0,0.0
2020-08-01T00:00:00,owner_contribution,200,200.0
2020-08-03T00:00:00,account_purchase,-200.0,0.0
2020-09-01T00:00:00,owner_contribution,200,200.0
2020-09-07T00:00:00,account_purchase,-200.0,0.0
2020-10-01T00:00:00,owner_contribution,200,200.0
2020-10-05T00:00:00,account_purchase,-200.0,0.0
2020-11-01T00:00:00,owner_contribution,200,200.0
2020-11-02T00:00:00,account_purchase,-200.0,0.0
2020-12-01T00:00:00,owner_contribution,200,200.0
2020-12-07T00:00:00,account_purchase,-200.0,0.0
2021-01-01T00:00:00,owner_contribution,200,200.0
2021-01-04T00:00:00,account_purchase,-200.0,0.0
2021-02-01T00:00:00,owner_contribution,200,200.0
2021-02-01T00:00:00,account_purchase,-200.0,0.0
2021-03-01T00:00:00,owner_contribution,200,200.0
2021-03-01T00:00:00,account_purchase,-200.0,0.0
2021-04-01T00:00:00,owner_contribution,200,200.0
2021-04-05T00:00:00,account_purchase,-200.0,0.0
2021-05-01T00:00:00,owner_contribution,200,200.0
2021-05-03T00:00:00,account_purchase,-200.0,0.0
2021-06-01T00:00:00,owner_contribution,200,200.0
2021-06-07T00:00:00,account_purchase,-200.0,0.0
2021-07-01T00:00:00,owner_contribution,200,200.0
2021-07-05T00:00:00,account_purchase,-200.0,0.0
2021-08-01T00:00:00,owner_contribution,200,200.0
2021-08-02T00:00:00,account_purchase,-200.0,0.0
2021-09-01T00:00:00,owner_contribution,200,200.0
2021-09-06T00:00:00,account_purchase,-200.0,0.0
2021-10-01T00:00:00,owner_contribution,200,200.0
2021-10-04T00:00:00,account_purchase,-200.0,0.0
2021-11-01T00:00:00,owner_contribution,200,200.0
2021-11-01T00:00:00,account_purchase,-200.0,0.0
2021-12-01T00:00:00,owner_contribution,200,200.0
2021-12-06T00:00:00,account_purchase,-200.0,0.0
2022-01-01T00:00:00,owner_contribution,200,200.0
2022-01-03T00:00:00,account_purchase,-200.0,0.0
2022-02-01T00:00:00,owner_contribution,200,200.0
2022-02-07T00:00:00,account_purchase,-200.0,0.0
2022-02-28T00:00:00,payout_received,710.25,710.25
2022-02-28T00:00:00,account_purchase,-200.0,510.25
2022-03-01T00:00:00,owner_contribution,200,710.25
2022-03-07T00:00:00,account_purchase,-200.0,510.25
2022-03-14T00:00:00,account_purchase,-200.0,310.25
2022-03-21T00:00:00,account_purchase,-200.0,110.25
2022-04-01T00:00:00,owner_contribution,200,310.25
2022-04-04T00:00:00,payout_received,833.8,1144.05
2022-04-04T00:00:00,account_purchase,-200.0,944.05
2022-04-11T00:00:00,payout_received,833.45,1777.5
2022-04-11T00:00:00,account_purchase,-200.0,1577.5
2022-04-18T00:00:00,payout_received,777.85,2355.35
2022-04-18T00:00:00,payout_received,933.05,3288.4
2022-04-18T00:00:00,payout_received,1039.45,4327.85
2022-04-18T00:00:00,payout_received,935.65,5263.5
2022-04-18T00:00:00,account_purchase,-200.0,5063.5
2022-04-25T00:00:00,payout_received,1500.0,6563.5
2022-04-25T00:00:00,payout_received,1043.0,7606.5
2022-04-25T00:00:00,account_purchase,-200.0,7406.5
2022-05-01T00:00:00,owner_contribution,200,7606.5
2022-05-02T00:00:00,account_purchase,-200.0,7406.5
2022-05-09T00:00:00,account_purchase,-200.0,7206.5
2022-05-16T00:00:00,account_purchase,-200.0,7006.5
2022-05-23T00:00:00,account_purchase,-200.0,6806.5
2022-05-30T00:00:00,account_purchase,-200.0,6606.5
2022-06-01T00:00:00,owner_contribution,200,6806.5
2022-06-06T00:00:00,account_purchase,-200.0,6606.5
2022-06-13T00:00:00,account_purchase,-200.0,6406.5
2022-06-20T00:00:00,account_purchase,-200.0,6206.5
2022-06-27T00:00:00,account_purchase,-200.0,6006.5
2022-07-01T00:00:00,owner_contribution,200,6206.5
2022-07-04T00:00:00,account_purchase,-200.0,6006.5
2022-07-11T00:00:00,account_purchase,-200.0,5806.5
2022-07-18T00:00:00,account_purchase,-200.0,5606.5
2022-07-25T00:00:00,account_purchase,-200.0,5406.5
2022-08-01T00:00:00,owner_contribution,200,5606.5
2022-08-01T00:00:00,account_purchase,-200.0,5406.5
2022-08-08T00:00:00,account_purchase,-200.0,5206.5
2022-08-15T00:00:00,account_purchase,-200.0,5006.5
2022-08-22T00:00:00,account_purchase,-200.0,4806.5
2022-08-29T00:00:00,account_purchase,-200.0,4606.5
2022-09-01T00:00:00,owner_contribution,200,4806.5
2022-09-05T00:00:00,account_purchase,-200.0,4606.5
2022-09-12T00:00:00,payout_received,584.5,5191.0
2022-09-12T00:00:00,payout_received,584.5,5775.5
2022-09-12T00:00:00,payout_received,584.5,6360.0
2022-09-12T00:00:00,payout_received,584.5,6944.5
2022-09-12T00:00:00,account_purchase,-200.0,6744.5
2022-09-19T00:00:00,account_purchase,-200.0,6544.5
2022-09-26T00:00:00,account_purchase,-200.0,6344.5
2022-10-01T00:00:00,owner_contribution,200,6544.5
2022-10-03T00:00:00,payout_received,565.45,7109.95
2022-10-17T00:00:00,payout_received,802.4,7912.35
2022-10-17T00:00:00,payout_received,802.4,8714.75
2022-10-17T00:00:00,payout_received,802.4,9517.15
2022-10-17T00:00:00,payout_received,802.4,10319.55
2022-10-17T00:00:00,payout_received,975.9,11295.45
2022-10-17T00:00:00,payout_received,912.45,12207.9
2022-10-24T00:00:00,payout_received,1314.2,13522.1
2022-11-01T00:00:00,owner_contribution,200,13722.1
2022-11-07T00:00:00,account_purchase,-200.0,13522.1
2022-11-14T00:00:00,account_purchase,-200.0,13322.1
2022-11-21T00:00:00,account_purchase,-200.0,13122.1
2022-11-28T00:00:00,account_purchase,-200.0,12922.1
2022-12-01T00:00:00,owner_contribution,200,13122.1
2022-12-05T00:00:00,account_purchase,-200.0,12922.1
2022-12-12T00:00:00,account_purchase,-200.0,12722.1
2022-12-19T00:00:00,account_purchase,-200.0,12522.1
2023-01-01T00:00:00,owner_contribution,200,12722.1
2023-01-09T00:00:00,account_purchase,-200.0,12522.1
2023-01-16T00:00:00,account_purchase,-200.0,12322.1
2023-01-23T00:00:00,account_purchase,-200.0,12122.1
2023-01-30T00:00:00,account_purchase,-200.0,11922.1
2023-02-01T00:00:00,owner_contribution,200,12122.1
2023-02-06T00:00:00,account_purchase,-200.0,11922.1
2023-02-13T00:00:00,account_purchase,-200.0,11722.1
2023-02-20T00:00:00,payout_received,599.7,12321.8
2023-02-20T00:00:00,payout_received,599.7,12921.5
2023-02-20T00:00:00,payout_received,599.7,13521.2
2023-02-20T00:00:00,payout_received,599.7,14120.9
2023-02-20T00:00:00,payout_received,599.7,14720.6
2023-02-20T00:00:00,payout_received,599.7,15320.3
2023-02-20T00:00:00,account_purchase,-200.0,15120.3
2023-02-27T00:00:00,account_purchase,-200.0,14920.3
2023-03-01T00:00:00,owner_contribution,200,15120.3
2023-03-27T00:00:00,payout_received,831.0,15951.3
2023-03-27T00:00:00,payout_received,1059.25,17010.55
2023-03-27T00:00:00,payout_received,1059.25,18069.8
2023-03-27T00:00:00,payout_received,1059.25,19129.05
2023-03-27T00:00:00,payout_received,1059.25,20188.3
