at,count,emergency
2020-01-06T01:36:40,1,True
2020-01-06T04:05:40,1,True
2020-01-13T07:02:40,2,True
2020-01-20T06:02:00,2,True
2020-01-21T15:08:20,3,True
2020-01-27T07:30:40,3,True
2020-02-03T07:00:40,3,True
2020-02-17T07:12:40,3,True
2020-03-02T02:04:40,1,True
2020-03-04T09:00:40,2,True
2020-09-28T08:00:40,3,True
2021-07-19T09:02:40,4,True
2021-07-26T21:46:20,1,True
2021-07-26T23:05:40,3,True
2021-08-02T10:03:40,4,True
2021-09-08T22:12:40,4,True
2021-11-03T02:20:40,1,True
2021-11-03T06:45:40,7,True
2021-11-03T11:01:40,1,True
2022-03-16T06:46:40,2,True
2022-03-22T09:15:40,3,True
2022-03-28T11:48:40,11,True
2022-04-25T21:21:40,1,True
2022-08-04T23:00:40,3,True
2022-09-07T20:37:40,3,True
2022-09-14T07:31:40,3,True
2022-09-19T16:32:40,3,True
2022-10-05T09:37:20,3,True
2023-03-17T06:08:40,20,True
2023-09-07T22:50:20,20,True
