at,alive,spares,subscriptions,awaiting_activation,in_flight,shortfall,pending_replacements,cash_usd
2020-01-01T00:00:00,0,0,1,0,1,1,0,4967.0
2020-01-02T00:00:00,0,0,2,0,2,0,0,4934.0
2020-01-03T00:00:00,0,0,3,0,3,0,0,4901.0
2020-01-04T00:00:00,0,0,4,0,4,0,0,4868.0
2020-01-05T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-06T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-07T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-08T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-09T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-10T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-11T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-12T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-13T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-14T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-15T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-16T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-17T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-18T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-19T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-20T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-21T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-22T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-23T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-24T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-25T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-26T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-27T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-28T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-29T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-30T00:00:00,0,0,5,0,5,0,0,4835.0
2020-01-31T00:00:00,0,0,5,0,5,0,0,4835.0
2020-02-01T00:00:00,0,0,6,0,6,1,0,4969.0
2020-02-02T00:00:00,0,0,5,0,5,0,0,4969.0
2020-02-03T00:00:00,0,0,5,0,5,0,0,4936.0
2020-02-04T00:00:00,0,0,5,0,5,0,0,4903.0
2020-02-05T00:00:00,0,0,5,0,5,0,0,4870.0
2020-02-06T00:00:00,0,0,5,0,5,0,0,4870.0
2020-02-07T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-08T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-09T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-10T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-11T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-12T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-13T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-14T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-15T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-16T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-17T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-18T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-19T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-20T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-21T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-22T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-23T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-24T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-25T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-26T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-27T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-28T00:00:00,0,1,4,0,4,0,0,4745.0
2020-02-29T00:00:00,0,1,4,0,4,0,0,4745.0
2020-03-01T00:00:00,1,0,5,0,5,0,0,4879.0
2020-03-02T00:00:00,1,0,5,0,5,0,0,4879.0
2020-03-03T00:00:00,1,2,3,0,3,0,0,4596.0
2020-03-04T00:00:00,1,2,3,0,3,0,0,4563.0
2020-03-05T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-06T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-07T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-08T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-09T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-10T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-11T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-12T00:00:00,1,2,3,0,3,0,0,4530.0
2020-03-13T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-14T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-15T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-16T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-17T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-18T00:00:00,1,1,4,0,4,0,0,4497.0
2020-03-19T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-20T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-21T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-22T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-23T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-24T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-25T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-26T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-27T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-28T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-29T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-30T00:00:00,1,0,5,0,5,0,0,4464.0
2020-03-31T00:00:00,1,0,5,0,5,0,0,4464.0
2020-04-01T00:00:00,1,0,6,0,6,1,0,4631.0
2020-04-02T00:00:00,1,0,6,0,6,0,0,4631.0
2020-04-03T00:00:00,1,0,5,0,5,0,0,4631.0
2020-04-04T00:00:00,1,0,5,0,5,0,0,4598.0
2020-04-05T00:00:00,1,0,5,0,5,0,0,4565.0
2020-04-06T00:00:00,1,0,5,0,5,0,0,4565.0
2020-04-07T00:00:00,1,0,5,0,5,0,0,4565.0
