account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
2,2023-01-01 00:00:00,False,2023-12-01 17:26:40,RR1.00:17-18:230:1181,411,-202.5,430.5,-633.0,0.0,0.0,0
3,2023-01-01 00:00:00,True,,,1731,16167.0,1817.55,100.01,14249.44,14249.44,11
4,2023-01-01 00:00:00,True,,,1725,11909.0,1811.25,100.01,9997.74,9997.74,6
5,2023-01-01 00:00:00,True,,,1724,6498.0,1810.2,3187.8,1500.0,1500.0,1
6,2023-09-07 22:50:20,False,2026-03-16 05:15:40,RR1.00:4-5:529:2056,1215,1406.0,1274.7,131.3,0.0,0.0,0
7,2026-04-29 14:36:40,False,2026-05-22 23:30:00,RR1.00:17-18:382:1936,34,84.0,34.65,49.35,0.0,0.0,0
8,2026-06-03 14:28:40,False,2026-06-22 09:30:00,RR1.00:9-10:583:2144,25,-1150.0,25.2,-1175.2,0.0,0.0,0
