account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-02 07:50:40,False,2021-09-21 23:05:20,RR1.00:21-22:154:548,215,-976.0,224.7,-1200.7,0.0,0.0,0
2,2020-01-06 04:05:40,False,2021-09-21 10:30:00,RR1.00:6-7:143:576,510,590.0,534.45,55.55,0.0,0.0,0
3,2020-01-21 15:08:20,False,2021-09-17 10:07:40,RR1.00:10-11:150:558,198,190.0,206.85,-16.85,0.0,0.0,0
4,2020-02-03 03:32:40,False,2021-09-21 21:26:40,RR1.00:21-22:153:546,620,752.0,649.95,102.05,0.0,0.0,0
5,2020-02-03 07:00:40,False,2021-09-21 11:00:00,RR1.00:10-11:152:564,147,-742.5,153.3,-895.8,0.0,0.0,0
6,2020-02-03 07:00:40,False,2025-11-24 10:06:40,RR1.00:9-10:533:1973,840,1007.5,880.95,126.55,0.0,0.0,0
7,2020-03-02 02:04:40,True,,,7350,32484.0,7717.5,100.01,24666.49,24666.49,28
8,2020-03-04 09:00:40,False,2021-09-21 21:26:40,RR1.00:21-22:153:546,458,32.0,479.85,-447.85,0.0,0.0,0
9,2020-03-04 09:00:40,False,2021-09-15 16:32:40,RR1.00:16-17:252:676,1369,1566.0,1436.4,129.6,0.0,0.0,0
10,2020-06-09 08:06:40,False,2021-09-15 16:32:40,RR1.00:16-17:252:676,1217,1406.0,1276.8,129.2,0.0,0.0,0
11,2020-06-09 08:06:40,False,2021-09-17 10:07:40,RR1.00:10-11:150:558,236,-1066.0,246.75,-1312.75,0.0,0.0,0
12,2020-06-09 08:06:40,True,,,5787,28264.0,6076.35,100.01,22087.64,22087.64,25
13,2020-08-05 22:35:40,False,2021-09-15 16:32:40,RR1.00:16-17:252:676,327,-145.0,342.3,-487.3,0.0,0.0,0
14,2020-08-05 22:35:40,False,2021-09-21 10:30:00,RR1.00:6-7:143:576,288,227.5,301.35,-73.85,0.0,0.0,0
15,2020-08-05 22:35:40,False,2021-09-21 11:00:00,RR1.00:10-11:152:564,221,43.5,231.0,-187.5,0.0,0.0,0
16,2020-09-02 22:11:40,False,2021-09-21 10:30:00,RR1.00:6-7:143:576,146,55.0,152.25,-97.25,0.0,0.0,0
17,2020-09-02 22:11:40,True,,,7273,36565.0,7636.65,100.01,28828.34,28445.51,35
18,2020-09-02 22:11:40,False,2021-09-21 10:30:00,RR1.00:6-7:143:576,149,-1257.0,155.4,-1412.4,0.0,0.0,0
19,2020-09-28 08:00:40,False,2021-09-17 10:07:40,RR1.00:10-11:150:558,366,177.0,384.3,-207.3,0.0,0.0,0
20,2020-09-28 08:00:40,False,2021-09-21 11:00:00,RR1.00:10-11:152:564,329,302.5,344.4,-41.9,0.0,0.0,0
21,2020-09-28 08:00:40,False,2021-09-21 11:00:00,RR1.00:10-11:152:564,179,-887.0,186.9,-1073.9,0.0,0.0,0
22,2020-09-28 08:00:40,False,2021-09-21 21:26:40,RR1.00:21-22:153:546,84,-989.5,87.15,-1076.65,0.0,0.0,0
23,2020-09-28 08:00:40,False,2021-09-21 21:26:40,RR1.00:21-22:153:546,91,-1235.0,94.5,-1329.5,0.0,0.0,0
24,2020-09-28 08:00:40,False,2021-09-15 16:32:40,RR1.00:16-17:252:676,246,-796.0,257.25,-1053.25,0.0,0.0,0
