at,kind,eval_id,count
2020-04-09T00:00:00,renewal_unaffordable,9,
2020-04-09T00:00:00,start_unaffordable,,1
2020-04-10T00:00:00,renewal_unaffordable,10,
2020-04-10T00:00:00,start_unaffordable,,1
2020-04-11T00:00:00,start_unaffordable,,1
2020-04-12T00:00:00,start_unaffordable,,1
2020-04-13T00:00:00,renewal_unaffordable,12,
2020-04-13T00:00:00,start_unaffordable,,1
2020-04-14T00:00:00,start_unaffordable,,1
2020-04-15T00:00:00,start_unaffordable,,1
2020-04-16T00:00:00,start_unaffordable,,1
2020-04-17T00:00:00,start_unaffordable,,1
2020-04-18T00:00:00,start_unaffordable,,1
2020-04-19T00:00:00,renewal_unaffordable,13,
2020-04-19T00:00:00,start_unaffordable,,1
2020-04-20T00:00:00,start_unaffordable,,1
2020-04-21T00:00:00,start_unaffordable,,1
2020-04-22T00:00:00,start_unaffordable,,1
2020-04-23T00:00:00,start_unaffordable,,1
2020-04-24T00:00:00,start_unaffordable,,1
2020-04-25T00:00:00,start_unaffordable,,1
2020-04-26T00:00:00,start_unaffordable,,1
2020-04-27T00:00:00,start_unaffordable,,1
2020-04-28T00:00:00,start_unaffordable,,1
2020-04-29T00:00:00,start_unaffordable,,1
2020-04-30T00:00:00,start_unaffordable,,1
2020-05-05T00:00:00,renewal_unaffordable,5,
2020-05-05T00:00:00,start_unaffordable,,1
2020-05-06T00:00:00,renewal_unaffordable,6,
2020-05-06T00:00:00,start_unaffordable,,1
2020-05-07T00:00:00,renewal_unaffordable,7,
2020-05-07T00:00:00,start_unaffordable,,1
2020-05-08T00:00:00,renewal_unaffordable,8,
2020-05-08T00:00:00,start_unaffordable,,1
2020-05-09T00:00:00,activation_blocked,3,
2020-05-09T00:00:00,activation_blocked,4,
2020-05-09T00:00:00,activation_blocked,14,
2020-05-09T00:00:00,activation_blocked,15,
2020-05-09T00:00:00,activation_blocked,16,
2020-05-09T00:00:00,activation_blocked,17,
2020-05-09T00:00:00,start_unaffordable,,1
2020-05-10T00:00:00,activation_blocked,3,
2020-05-10T00:00:00,activation_blocked,4,
2020-05-10T00:00:00,activation_blocked,14,
2020-05-10T00:00:00,activation_blocked,15,
2020-05-10T00:00:00,activation_blocked,16,
2020-05-10T00:00:00,activation_blocked,17,
2020-05-10T00:00:00,start_unaffordable,,1
2020-05-11T00:00:00,activation_blocked,3,
2020-05-11T00:00:00,activation_blocked,4,
2020-05-11T00:00:00,activation_blocked,14,
2020-05-11T00:00:00,activation_blocked,15,
2020-05-11T00:00:00,activation_blocked,16,
2020-05-11T00:00:00,activation_blocked,17,
2020-05-11T00:00:00,start_unaffordable,,1
2020-05-12T00:00:00,activation_blocked,3,
2020-05-12T00:00:00,activation_blocked,4,
2020-05-12T00:00:00,activation_blocked,14,
2020-05-12T00:00:00,activation_blocked,15,
2020-05-12T00:00:00,activation_blocked,16,
2020-05-12T00:00:00,activation_blocked,17,
2020-05-12T00:00:00,start_unaffordable,,1
2020-05-13T00:00:00,activation_blocked,3,
2020-05-13T00:00:00,activation_blocked,4,
2020-05-13T00:00:00,activation_blocked,14,
2020-05-13T00:00:00,activation_blocked,15,
2020-05-13T00:00:00,activation_blocked,16,
2020-05-13T00:00:00,activation_blocked,17,
2020-05-13T00:00:00,start_unaffordable,,1
2020-05-14T00:00:00,activation_blocked,3,
2020-05-14T00:00:00,activation_blocked,4,
2020-05-14T00:00:00,activation_blocked,14,
2020-05-14T00:00:00,activation_blocked,15,
2020-05-14T00:00:00,activation_blocked,16,
2020-05-14T00:00:00,activation_blocked,17,
2020-05-14T00:00:00,start_unaffordable,,1
2020-05-15T00:00:00,activation_blocked,3,
2020-05-15T00:00:00,activation_blocked,4,
2020-05-15T00:00:00,activation_blocked,14,
2020-05-15T00:00:00,activation_blocked,15,
2020-05-15T00:00:00,activation_blocked,16,
2020-05-15T00:00:00,activation_blocked,17,
2020-05-15T00:00:00,start_unaffordable,,1
2020-05-16T00:00:00,activation_blocked,3,
2020-05-16T00:00:00,activation_blocked,4,
2020-05-16T00:00:00,activation_blocked,14,
2020-05-16T00:00:00,activation_blocked,15,
2020-05-16T00:00:00,activation_blocked,16,
2020-05-16T00:00:00,activation_blocked,17,
2020-05-16T00:00:00,start_unaffordable,,1
2020-05-17T00:00:00,activation_blocked,3,
2020-05-17T00:00:00,activation_blocked,4,
2020-05-17T00:00:00,activation_blocked,14,
2020-05-17T00:00:00,activation_blocked,15,
2020-05-17T00:00:00,activation_blocked,16,
2020-05-17T00:00:00,activation_blocked,17,
2020-05-17T00:00:00,start_unaffordable,,1
2020-05-18T00:00:00,activation_blocked,3,
2020-05-18T00:00:00,activation_blocked,4,
2020-05-18T00:00:00,activation_blocked,14,
2020-05-18T00:00:00,activation_blocked,15,
2020-05-18T00:00:00,activation_blocked,16,
2020-05-18T00:00:00,activation_blocked,17,
2020-05-18T00:00:00,start_unaffordable,,1
2020-05-19T00:00:00,activation_blocked,3,
2020-05-19T00:00:00,activation_blocked,4,
2020-05-19T00:00:00,activation_blocked,14,
2020-05-19T00:00:00,activation_blocked,15,
2020-05-19T00:00:00,activation_blocked,16,
2020-05-19T00:00:00,activation_blocked,17,
2020-05-19T00:00:00,start_unaffordable,,1
2020-05-20T00:00:00,activation_blocked,3,
2020-05-20T00:00:00,activation_blocked,4,
2020-05-20T00:00:00,activation_blocked,14,
2020-05-20T00:00:00,activation_blocked,15,
2020-05-20T00:00:00,activation_blocked,16,
2020-05-20T00:00:00,activation_blocked,17,
2020-05-20T00:00:00,start_unaffordable,,1
2020-05-21T00:00:00,activation_blocked,3,
2020-05-21T00:00:00,activation_blocked,4,
2020-05-21T00:00:00,activation_blocked,14,
2020-05-21T00:00:00,activation_blocked,15,
2020-05-21T00:00:00,activation_blocked,16,
2020-05-21T00:00:00,activation_blocked,17,
2020-05-21T00:00:00,start_unaffordable,,1
2020-05-22T00:00:00,activation_blocked,3,
2020-05-22T00:00:00,activation_blocked,4,
2020-05-22T00:00:00,activation_blocked,14,
2020-05-22T00:00:00,activation_blocked,15,
2020-05-22T00:00:00,activation_blocked,16,
2020-05-22T00:00:00,activation_blocked,17,
2020-05-22T00:00:00,start_unaffordable,,1
2020-05-23T00:00:00,activation_blocked,3,
2020-05-23T00:00:00,activation_blocked,4,
2020-05-23T00:00:00,activation_blocked,14,
2020-05-23T00:00:00,activation_blocked,15,
2020-05-23T00:00:00,activation_blocked,16,
2020-05-23T00:00:00,activation_blocked,17,
2020-05-23T00:00:00,start_unaffordable,,1
2020-05-24T00:00:00,activation_blocked,3,
2020-05-24T00:00:00,activation_blocked,4,
2020-05-24T00:00:00,activation_blocked,14,
2020-05-24T00:00:00,activation_blocked,15,
2020-05-24T00:00:00,activation_blocked,16,
2020-05-24T00:00:00,activation_blocked,17,
2020-05-24T00:00:00,start_unaffordable,,1
2020-05-25T00:00:00,activation_blocked,3,
2020-05-25T00:00:00,activation_blocked,4,
2020-05-25T00:00:00,activation_blocked,14,
2020-05-25T00:00:00,activation_blocked,15,
2020-05-25T00:00:00,activation_blocked,16,
2020-05-25T00:00:00,activation_blocked,17,
2020-05-25T00:00:00,start_unaffordable,,1
2020-05-26T00:00:00,activation_blocked,3,
2020-05-26T00:00:00,activation_blocked,4,
2020-05-26T00:00:00,activation_blocked,14,
2020-05-26T00:00:00,activation_blocked,15,
2020-05-26T00:00:00,activation_blocked,16,
2020-05-26T00:00:00,activation_blocked,17,
2020-05-26T00:00:00,start_unaffordable,,1
2020-05-27T00:00:00,activation_blocked,3,
2020-05-27T00:00:00,activation_blocked,4,
2020-05-27T00:00:00,activation_blocked,14,
2020-05-27T00:00:00,activation_blocked,15,
2020-05-27T00:00:00,activation_blocked,16,
2020-05-27T00:00:00,activation_blocked,17,
2020-05-27T00:00:00,start_unaffordable,,1
2020-05-28T00:00:00,activation_blocked,3,
2020-05-28T00:00:00,activation_blocked,4,
2020-05-28T00:00:00,activation_blocked,14,
2020-05-28T00:00:00,activation_blocked,15,
2020-05-28T00:00:00,activation_blocked,16,
2020-05-28T00:00:00,activation_blocked,17,
2020-05-28T00:00:00,start_unaffordable,,1
2020-05-29T00:00:00,activation_blocked,3,
2020-05-29T00:00:00,activation_blocked,4,
2020-05-29T00:00:00,activation_blocked,14,
2020-05-29T00:00:00,activation_blocked,15,
2020-05-29T00:00:00,activation_blocked,16,
2020-05-29T00:00:00,activation_blocked,17,
2020-05-29T00:00:00,start_unaffordable,,1
2020-05-30T00:00:00,activation_blocked,3,
2020-05-30T00:00:00,activation_blocked,4,
2020-05-30T00:00:00,activation_blocked,14,
2020-05-30T00:00:00,activation_blocked,15,
2020-05-30T00:00:00,activation_blocked,16,
2020-05-30T00:00:00,activation_blocked,17,
2020-05-30T00:00:00,start_unaffordable,,1
2020-05-31T00:00:00,activation_blocked,3,
2020-05-31T00:00:00,activation_blocked,4,
2020-05-31T00:00:00,activation_blocked,14,
2020-05-31T00:00:00,activation_blocked,15,
2020-05-31T00:00:00,activation_blocked,16,
2020-05-31T00:00:00,activation_blocked,17,
2020-05-31T00:00:00,start_unaffordable,,1
2020-06-01T00:00:00,activation_blocked,4,
2020-06-01T00:00:00,activation_blocked,14,
2020-06-01T00:00:00,activation_blocked,15,
2020-06-01T00:00:00,activation_blocked,16,
2020-06-01T00:00:00,activation_blocked,17,
2020-06-02T00:00:00,activation_blocked,4,
2020-06-02T00:00:00,activation_blocked,14,
2020-06-02T00:00:00,activation_blocked,15,
2020-06-02T00:00:00,activation_blocked,16,
2020-06-02T00:00:00,activation_blocked,17,
2020-06-03T00:00:00,activation_blocked,4,
2020-06-03T00:00:00,activation_blocked,14,
2020-06-03T00:00:00,activation_blocked,15,
2020-06-03T00:00:00,activation_blocked,16,
2020-06-03T00:00:00,activation_blocked,17,
2020-06-03T00:00:00,start_unaffordable,,1
2020-06-04T00:00:00,activation_blocked,4,
2020-06-04T00:00:00,activation_blocked,14,
2020-06-04T00:00:00,activation_blocked,15,
2020-06-04T00:00:00,activation_blocked,16,
2020-06-04T00:00:00,activation_blocked,17,
2020-06-04T00:00:00,start_unaffordable,,1
2020-06-05T00:00:00,activation_blocked,4,
2020-06-05T00:00:00,activation_blocked,14,
2020-06-05T00:00:00,activation_blocked,15,
2020-06-05T00:00:00,activation_blocked,16,
2020-06-05T00:00:00,activation_blocked,17,
2020-06-05T00:00:00,start_unaffordable,,1
2020-06-06T00:00:00,activation_blocked,4,
2020-06-06T00:00:00,activation_blocked,14,
2020-06-06T00:00:00,activation_blocked,15,
2020-06-06T00:00:00,activation_blocked,16,
2020-06-06T00:00:00,activation_blocked,17,
2020-06-06T00:00:00,start_unaffordable,,1
2020-06-07T00:00:00,activation_blocked,4,
2020-06-07T00:00:00,activation_blocked,14,
2020-06-07T00:00:00,activation_blocked,15,
2020-06-07T00:00:00,activation_blocked,16,
2020-06-07T00:00:00,activation_blocked,17,
2020-06-07T00:00:00,start_unaffordable,,1
2020-06-08T00:00:00,activation_blocked,4,
2020-06-08T00:00:00,activation_blocked,14,
2020-06-08T00:00:00,activation_blocked,15,
2020-06-08T00:00:00,activation_blocked,16,
2020-06-08T00:00:00,activation_blocked,17,
2020-06-08T00:00:00,start_unaffordable,,1
2020-06-09T00:00:00,activation_blocked,4,
2020-06-09T00:00:00,activation_blocked,14,
2020-06-09T00:00:00,activation_blocked,15,
2020-06-09T00:00:00,activation_blocked,16,
2020-06-09T00:00:00,activation_blocked,17,
2020-06-09T00:00:00,start_unaffordable,,1
2020-06-10T00:00:00,activation_blocked,4,
2020-06-10T00:00:00,activation_blocked,14,
2020-06-10T00:00:00,activation_blocked,15,
2020-06-10T00:00:00,activation_blocked,16,
2020-06-10T00:00:00,activation_blocked,17,
2020-06-10T00:00:00,start_unaffordable,,1
2020-06-11T00:00:00,activation_blocked,4,
2020-06-11T00:00:00,activation_blocked,14,
2020-06-11T00:00:00,activation_blocked,15,
2020-06-11T00:00:00,activation_blocked,16,
2020-06-11T00:00:00,activation_blocked,17,
2020-06-11T00:00:00,start_unaffordable,,1
2020-06-12T00:00:00,activation_blocked,4,
2020-06-12T00:00:00,activation_blocked,14,
2020-06-12T00:00:00,activation_blocked,15,
2020-06-12T00:00:00,activation_blocked,16,
2020-06-12T00:00:00,activation_blocked,17,
2020-06-12T00:00:00,start_unaffordable,,1
2020-06-13T00:00:00,activation_blocked,4,
2020-06-13T00:00:00,activation_blocked,14,
2020-06-13T00:00:00,activation_blocked,15,
2020-06-13T00:00:00,activation_blocked,16,
2020-06-13T00:00:00,activation_blocked,17,
2020-06-13T00:00:00,start_unaffordable,,1
2020-06-14T00:00:00,activation_blocked,4,
2020-06-14T00:00:00,activation_blocked,14,
2020-06-14T00:00:00,activation_blocked,15,
2020-06-14T00:00:00,activation_blocked,16,
2020-06-14T00:00:00,activation_blocked,17,
2020-06-14T00:00:00,start_unaffordable,,1
2020-06-15T00:00:00,activation_blocked,4,
2020-06-15T00:00:00,activation_blocked,14,
2020-06-15T00:00:00,activation_blocked,15,
2020-06-15T00:00:00,activation_blocked,16,
2020-06-15T00:00:00,activation_blocked,17,
2020-06-15T00:00:00,start_unaffordable,,1
2020-06-16T00:00:00,activation_blocked,4,
2020-06-16T00:00:00,activation_blocked,14,
2020-06-16T00:00:00,activation_blocked,15,
2020-06-16T00:00:00,activation_blocked,16,
2020-06-16T00:00:00,activation_blocked,17,
2020-06-16T00:00:00,start_unaffordable,,1
2020-06-17T00:00:00,activation_blocked,4,
2020-06-17T00:00:00,activation_blocked,14,
2020-06-17T00:00:00,activation_blocked,15,
2020-06-17T00:00:00,activation_blocked,16,
2020-06-17T00:00:00,activation_blocked,17,
2020-06-17T00:00:00,start_unaffordable,,1
2020-06-18T00:00:00,activation_blocked,4,
2020-06-18T00:00:00,activation_blocked,14,
2020-06-18T00:00:00,activation_blocked,15,
2020-06-18T00:00:00,activation_blocked,16,
2020-06-18T00:00:00,activation_blocked,17,
2020-06-18T00:00:00,start_unaffordable,,1
2020-06-19T00:00:00,activation_blocked,4,
2020-06-19T00:00:00,activation_blocked,14,
2020-06-19T00:00:00,activation_blocked,15,
2020-06-19T00:00:00,activation_blocked,16,
2020-06-19T00:00:00,activation_blocked,17,
2020-06-19T00:00:00,start_unaffordable,,1
2020-06-20T00:00:00,activation_blocked,4,
2020-06-20T00:00:00,activation_blocked,14,
2020-06-20T00:00:00,activation_blocked,15,
2020-06-20T00:00:00,activation_blocked,16,
2020-06-20T00:00:00,activation_blocked,17,
2020-06-20T00:00:00,start_unaffordable,,1
2020-06-21T00:00:00,activation_blocked,4,
2020-06-21T00:00:00,activation_blocked,14,
2020-06-21T00:00:00,activation_blocked,15,
2020-06-21T00:00:00,activation_blocked,16,
2020-06-21T00:00:00,activation_blocked,17,
2020-06-21T00:00:00,start_unaffordable,,1
2020-06-22T00:00:00,activation_blocked,4,
2020-06-22T00:00:00,activation_blocked,14,
2020-06-22T00:00:00,activation_blocked,15,
2020-06-22T00:00:00,activation_blocked,16,
2020-06-22T00:00:00,activation_blocked,17,
2020-06-22T00:00:00,start_unaffordable,,1
2020-06-23T00:00:00,activation_blocked,4,
2020-06-23T00:00:00,activation_blocked,14,
2020-06-23T00:00:00,activation_blocked,15,
2020-06-23T00:00:00,activation_blocked,16,
2020-06-23T00:00:00,activation_blocked,17,
2020-06-23T00:00:00,start_unaffordable,,1
2020-06-24T00:00:00,activation_blocked,4,
2020-06-24T00:00:00,activation_blocked,14,
2020-06-24T00:00:00,activation_blocked,15,
2020-06-24T00:00:00,activation_blocked,16,
2020-06-24T00:00:00,activation_blocked,17,
2020-06-24T00:00:00,start_unaffordable,,1
2020-06-25T00:00:00,activation_blocked,4,
2020-06-25T00:00:00,activation_blocked,14,
2020-06-25T00:00:00,activation_blocked,15,
2020-06-25T00:00:00,activation_blocked,16,
2020-06-25T00:00:00,activation_blocked,17,
2020-06-25T00:00:00,start_unaffordable,,1
2020-06-26T00:00:00,activation_blocked,4,
2020-06-26T00:00:00,activation_blocked,14,
2020-06-26T00:00:00,activation_blocked,15,
2020-06-26T00:00:00,activation_blocked,16,
2020-06-26T00:00:00,activation_blocked,17,
2020-06-26T00:00:00,start_unaffordable,,1
2020-06-27T00:00:00,activation_blocked,4,
2020-06-27T00:00:00,activation_blocked,14,
2020-06-27T00:00:00,activation_blocked,15,
2020-06-27T00:00:00,activation_blocked,16,
2020-06-27T00:00:00,activation_blocked,17,
2020-06-27T00:00:00,start_unaffordable,,1
2020-06-28T00:00:00,activation_blocked,4,
2020-06-28T00:00:00,activation_blocked,14,
2020-06-28T00:00:00,activation_blocked,15,
2020-06-28T00:00:00,activation_blocked,16,
2020-06-28T00:00:00,activation_blocked,17,
2020-06-28T00:00:00,start_unaffordable,,1
2020-06-29T00:00:00,activation_blocked,4,
2020-06-29T00:00:00,activation_blocked,14,
2020-06-29T00:00:00,activation_blocked,15,
2020-06-29T00:00:00,activation_blocked,16,
2020-06-29T00:00:00,activation_blocked,17,
2020-06-29T00:00:00,start_unaffordable,,1
2020-06-30T00:00:00,activation_blocked,4,
2020-06-30T00:00:00,activation_blocked,14,
2020-06-30T00:00:00,activation_blocked,15,
2020-06-30T00:00:00,activation_blocked,16,
2020-06-30T00:00:00,activation_blocked,17,
2020-06-30T00:00:00,start_unaffordable,,1
2020-07-01T00:00:00,activation_blocked,14,
2020-07-01T00:00:00,activation_blocked,15,
2020-07-01T00:00:00,activation_blocked,16,
2020-07-01T00:00:00,activation_blocked,17,
2020-07-02T00:00:00,activation_blocked,14,
2020-07-02T00:00:00,activation_blocked,15,
2020-07-02T00:00:00,activation_blocked,16,
2020-07-02T00:00:00,activation_blocked,17,
2020-07-02T00:00:00,renewal_unaffordable,19,
2020-07-02T00:00:00,start_unaffordable,,1
2020-07-03T00:00:00,activation_blocked,14,
2020-07-03T00:00:00,activation_blocked,15,
2020-07-03T00:00:00,activation_blocked,16,
2020-07-03T00:00:00,activation_blocked,17,
2020-07-03T00:00:00,start_unaffordable,,1
2020-07-04T00:00:00,activation_blocked,14,
2020-07-04T00:00:00,activation_blocked,15,
2020-07-04T00:00:00,activation_blocked,16,
2020-07-04T00:00:00,activation_blocked,17,
2020-07-04T00:00:00,start_unaffordable,,1
2020-07-05T00:00:00,activation_blocked,14,
2020-07-05T00:00:00,activation_blocked,15,
2020-07-05T00:00:00,activation_blocked,16,
2020-07-05T00:00:00,activation_blocked,17,
2020-07-05T00:00:00,start_unaffordable,,1
2020-07-06T00:00:00,activation_blocked,14,
2020-07-06T00:00:00,activation_blocked,15,
2020-07-06T00:00:00,activation_blocked,16,
2020-07-06T00:00:00,activation_blocked,17,
2020-07-06T00:00:00,start_unaffordable,,1
2020-07-07T00:00:00,activation_blocked,14,
2020-07-07T00:00:00,activation_blocked,15,
2020-07-07T00:00:00,activation_blocked,16,
2020-07-07T00:00:00,activation_blocked,17,
2020-07-07T00:00:00,start_unaffordable,,1
2020-07-08T00:00:00,activation_blocked,14,
2020-07-08T00:00:00,activation_blocked,15,
2020-07-08T00:00:00,activation_blocked,16,
2020-07-08T00:00:00,activation_blocked,17,
2020-07-08T00:00:00,start_unaffordable,,1
2020-07-09T00:00:00,activation_blocked,14,
2020-07-09T00:00:00,activation_blocked,15,
2020-07-09T00:00:00,activation_blocked,16,
2020-07-09T00:00:00,activation_blocked,17,
2020-07-09T00:00:00,start_unaffordable,,1
2020-07-10T00:00:00,activation_blocked,14,
2020-07-10T00:00:00,activation_blocked,15,
2020-07-10T00:00:00,activation_blocked,16,
2020-07-10T00:00:00,activation_blocked,17,
2020-07-10T00:00:00,start_unaffordable,,1
2020-07-11T00:00:00,activation_blocked,14,
2020-07-11T00:00:00,activation_blocked,15,
2020-07-11T00:00:00,activation_blocked,16,
2020-07-11T00:00:00,activation_blocked,17,
2020-07-11T00:00:00,start_unaffordable,,1
2020-07-12T00:00:00,activation_blocked,14,
2020-07-12T00:00:00,activation_blocked,15,
2020-07-12T00:00:00,activation_blocked,16,
2020-07-12T00:00:00,activation_blocked,17,
2020-07-12T00:00:00,start_unaffordable,,1
2020-07-13T00:00:00,activation_blocked,14,
2020-07-13T00:00:00,activation_blocked,15,
2020-07-13T00:00:00,activation_blocked,16,
2020-07-13T00:00:00,activation_blocked,17,
2020-07-13T00:00:00,start_unaffordable,,1
2020-07-14T00:00:00,activation_blocked,14,
2020-07-14T00:00:00,activation_blocked,15,
2020-07-14T00:00:00,activation_blocked,16,
2020-07-14T00:00:00,activation_blocked,17,
2020-07-14T00:00:00,start_unaffordable,,1
2020-07-15T00:00:00,activation_blocked,14,
2020-07-15T00:00:00,activation_blocked,15,
2020-07-15T00:00:00,activation_blocked,16,
2020-07-15T00:00:00,activation_blocked,17,
2020-07-15T00:00:00,start_unaffordable,,1
2020-07-16T00:00:00,activation_blocked,14,
2020-07-16T00:00:00,activation_blocked,15,
2020-07-16T00:00:00,activation_blocked,16,
2020-07-16T00:00:00,activation_blocked,17,
2020-07-16T00:00:00,start_unaffordable,,1
2020-07-17T00:00:00,activation_blocked,14,
2020-07-17T00:00:00,activation_blocked,15,
2020-07-17T00:00:00,activation_blocked,16,
2020-07-17T00:00:00,activation_blocked,17,
2020-07-17T00:00:00,start_unaffordable,,1
2020-07-18T00:00:00,activation_blocked,14,
2020-07-18T00:00:00,activation_blocked,15,
2020-07-18T00:00:00,activation_blocked,16,
2020-07-18T00:00:00,activation_blocked,17,
2020-07-18T00:00:00,start_unaffordable,,1
2020-07-19T00:00:00,activation_blocked,14,
2020-07-19T00:00:00,activation_blocked,15,
2020-07-19T00:00:00,activation_blocked,16,
2020-07-19T00:00:00,activation_blocked,17,
2020-07-19T00:00:00,start_unaffordable,,1
2020-07-20T00:00:00,activation_blocked,14,
2020-07-20T00:00:00,activation_blocked,15,
2020-07-20T00:00:00,activation_blocked,16,
2020-07-20T00:00:00,activation_blocked,17,
2020-07-20T00:00:00,start_unaffordable,,1
2020-07-21T00:00:00,activation_blocked,14,
2020-07-21T00:00:00,activation_blocked,15,
2020-07-21T00:00:00,activation_blocked,16,
2020-07-21T00:00:00,activation_blocked,17,
2020-07-21T00:00:00,start_unaffordable,,1
2020-07-22T00:00:00,activation_blocked,14,
2020-07-22T00:00:00,activation_blocked,15,
2020-07-22T00:00:00,activation_blocked,16,
2020-07-22T00:00:00,activation_blocked,17,
2020-07-22T00:00:00,start_unaffordable,,1
2020-07-23T00:00:00,activation_blocked,14,
