at,count,emergency
2023-01-03T07:13:40,1,True
2023-01-03T21:45:40,1,True
2023-01-05T21:37:40,1,True
2023-01-23T06:01:40,1,True
2023-02-14T09:01:40,2,True
2023-03-15T01:00:40,3,True
2023-03-17T06:08:40,3,True
2023-05-02T08:09:40,3,True
2023-05-09T06:33:20,5,True
2024-07-11T11:32:40,4,True
2024-11-01T14:30:20,4,True
2024-12-10T07:06:20,4,True
2025-01-21T10:33:40,4,True
2025-10-08T07:02:40,1,True
2025-10-16T16:31:40,2,True
2025-10-21T20:55:40,8,True
2025-10-21T22:21:40,10,True
2026-01-05T08:51:40,4,True
2026-02-05T10:06:40,5,True
2026-06-29T16:13:40,6,True
2026-06-30T21:21:40,3,True
2026-07-01T02:08:40,2,True
2026-07-06T10:43:40,10,True
