account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
2,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
3,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
4,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
5,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
6,2020-02-01 00:00:00,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,214,223.5,223.65,-0.15,0.0,0.0,0
7,2020-03-01 00:00:00,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,61,-196.0,63.0,-259.0,0.0,0.0,0
8,2020-04-01 00:00:00,False,2026-03-23 03:37:40,RR1.00:3-4:556:2077,11588,42834.5,12166.35,168.15,30500.0,29950.0,61
9,2020-05-01 00:00:00,False,2021-07-19 14:04:40,RR1.00:12-13:127:477,2342,2586.5,2458.05,128.45,0.0,0.0,0
10,2020-06-01 00:00:00,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,674,417.0,706.65,-289.65,0.0,0.0,0
11,2020-07-01 00:00:00,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,513,707.5,537.6,169.9,0.0,0.0,0
12,2020-08-01 00:00:00,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,346,185.0,362.25,-177.25,0.0,0.0,0
13,2020-09-01 00:00:00,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,178,-319.5,185.85,-505.35,0.0,0.0,0
14,2020-10-01 00:00:00,False,2020-12-14 07:13:40,RR1.00:2-3:94:338,406,294.0,425.25,-131.25,0.0,0.0,0
15,2020-11-01 00:00:00,False,2020-12-14 07:13:40,RR1.00:2-3:94:338,235,-39.0,245.7,-284.7,0.0,0.0,0
16,2020-12-01 00:00:00,False,2021-02-18 12:46:40,RR1.00:10-11:106:379,437,-362.5,457.8,-820.3,0.0,0.0,0
17,2021-01-01 00:00:00,False,2021-02-18 12:46:40,RR1.00:10-11:106:379,268,223.5,280.35,-56.85,0.0,0.0,0
18,2021-02-01 00:00:00,False,2021-02-26 22:59:40,RR1.00:21-22:110:381,159,-277.0,165.9,-442.9,0.0,0.0,0
19,2021-03-01 00:00:00,False,2021-05-20 11:38:40,RR1.00:4-5:118:448,418,598.5,437.85,160.65,0.0,0.0,0
20,2021-04-01 00:00:00,False,2021-05-17 18:51:40,RR1.00:17-18:93:423,241,-451.5,252.0,-703.5,0.0,0.0,0
