purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd,delta_ongoing_net_cash_usd_vs_monthly,delta_combined_net_cash_usd_vs_monthly,delta_accounts_bought_vs_monthly
monthly_one,fixed_1000_backlog,1000,0,216311.69,72998.3,289309.99,1000.0,290309.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1000_backlog,1000,0,214821.69,74188.3,289009.99,1000.0,290009.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1000_backlog,1000,0,213331.69,75378.3,288709.99,1000.0,289709.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1000_backlog,1000,0,232440.45,66605.65,299046.1,1000.0,300046.1,11600.0,58,17,21,0,0.0,11658.76,784.63,0
monthly_one,fixed_1000_backlog,1000,0,230960.45,67985.65,298946.1,1000.0,299946.1,11600.0,58,17,21,0,0.0,11668.76,9036.11,0
monthly_one,fixed_1000_backlog,1000,0,229480.45,69365.65,298846.1,1000.0,299846.1,11600.0,58,17,21,0,0.0,11678.76,9236.11,0
monthly_one,fixed_1000_backlog,1000,0,228200.45,70745.65,298946.1,1000.0,299946.1,11400.0,57,17,22,0,0.0,11888.76,9636.11,-1
monthly_one,fixed_1000_backlog,1000,0,226712.96,72133.14,298846.1,1000.0,299846.1,11400.0,57,17,22,0,0.0,11891.27,9836.11,-1
monthly_one,fixed_1000_backlog,1000,0,225222.96,73523.14,298746.1,1000.0,299746.1,11400.0,57,17,22,0,0.0,11891.27,10036.11,-1
monthly_one,fixed_1000_backlog,1000,0,217876.69,0,217876.69,1000.0,218876.69,11600.0,58,2,21,0,0.0,-2905.0,-80384.78,0
monthly_one,fixed_1000_backlog,1000,0,216386.69,0,216386.69,1000.0,217386.69,11600.0,58,2,21,0,0.0,-2905.0,-73523.3,0
monthly_one,fixed_1000_backlog,1000,0,214896.69,0,214896.69,1000.0,215896.69,11600.0,58,2,21,0,0.0,-2905.0,-74713.3,0
monthly_one,fixed_1000_backlog,1000,0,221030.84,75533.59,296564.43,1000.0,297564.43,11600.0,58,16,21,0,0.0,4719.15,7254.44,0
monthly_one,fixed_1000_backlog,1000,0,219540.84,76923.59,296464.43,1000.0,297464.43,11600.0,58,16,21,0,0.0,4719.15,7454.44,0
monthly_one,fixed_1000_backlog,1000,0,218050.84,78313.59,296364.43,1000.0,297364.43,11600.0,58,16,21,0,0.0,4719.15,7654.44,0
monthly_one,fixed_1500_backlog,1000,0,220781.69,77479.78,298261.47,1000.0,299261.47,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,0,219291.69,70618.3,289909.99,1000.0,290909.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,0,217801.69,71808.3,289609.99,1000.0,290609.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,0,216311.69,72998.3,289309.99,1000.0,290309.99,11600.0,58,17,21,0,0.0,0.0,0.0,0
