at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-06T00:00:00,account_purchase,-200.0,4800.0
2020-01-13T00:00:00,account_purchase,-200.0,4600.0
2020-01-20T00:00:00,account_purchase,-200.0,4400.0
2020-01-27T00:00:00,account_purchase,-200.0,4200.0
2020-02-01T00:00:00,owner_contribution,200,4400.0
2020-02-03T00:00:00,account_purchase,-200.0,4200.0
2020-02-10T00:00:00,account_purchase,-200.0,4000.0
2020-02-17T00:00:00,account_purchase,-200.0,3800.0
2020-02-24T00:00:00,account_purchase,-200.0,3600.0
2020-03-01T00:00:00,owner_contribution,200,3800.0
2020-03-02T00:00:00,account_purchase,-200.0,3600.0
2020-03-09T00:00:00,account_purchase,-200.0,3400.0
2020-03-16T00:00:00,account_purchase,-200.0,3200.0
2020-03-23T00:00:00,account_purchase,-200.0,3000.0
2020-03-30T00:00:00,account_purchase,-200.0,2800.0
2020-04-01T00:00:00,owner_contribution,200,3000.0
2020-04-06T00:00:00,account_purchase,-200.0,2800.0
2020-04-13T00:00:00,account_purchase,-200.0,2600.0
2020-04-20T00:00:00,account_purchase,-200.0,2400.0
2020-04-27T00:00:00,account_purchase,-200.0,2200.0
2020-05-01T00:00:00,owner_contribution,200,2400.0
2020-05-04T00:00:00,account_purchase,-200.0,2200.0
2020-05-11T00:00:00,account_purchase,-200.0,2000.0
2020-05-18T00:00:00,account_purchase,-200.0,1800.0
2020-05-25T00:00:00,account_purchase,-200.0,1600.0
2020-06-01T00:00:00,owner_contribution,200,1800.0
2020-06-01T00:00:00,account_purchase,-200.0,1600.0
2020-06-08T00:00:00,account_purchase,-200.0,1400.0
2020-06-15T00:00:00,account_purchase,-200.0,1200.0
2020-06-22T00:00:00,account_purchase,-200.0,1000.0
2020-06-29T00:00:00,account_purchase,-200.0,800.0
2020-07-01T00:00:00,owner_contribution,200,1000.0
2020-07-06T00:00:00,account_purchase,-200.0,800.0
2020-07-13T00:00:00,account_purchase,-200.0,600.0
2020-07-20T00:00:00,account_purchase,-200.0,400.0
2020-07-27T00:00:00,account_purchase,-200.0,200.0
2020-08-01T00:00:00,owner_contribution,200,400.0
2020-08-03T00:00:00,account_purchase,-200.0,200.0
