eval_id,started_at,state,months_paid,resets,generation,equity_usd,peak_usd,floor_usd,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,3,1,2,3580.25,3625.5,1125.5,224,2020-03-02 23:00:00,2020-03-03 00:00:00
2,2020-01-02 00:00:00,funded,3,1,2,3580.25,3625.5,1125.5,224,2020-03-02 23:00:00,2020-03-03 00:00:00
3,2020-01-03 00:00:00,funded,8,6,7,3109.25,3366.0,866.0,413,2020-08-12 21:00:00,2020-08-13 00:00:00
4,2020-02-01 00:00:00,funded,2,1,2,3580.25,3625.5,1125.5,101,2020-03-02 23:00:00,2020-03-03 00:00:00
5,2020-03-01 00:00:00,funded,1,0,1,3580.25,3625.5,1125.5,9,2020-03-02 23:00:00,2020-03-03 00:00:00
6,2020-03-19 00:00:00,funded,2,1,2,3069.75,3120.0,620.0,74,2020-05-06 06:30:00,2020-05-07 00:00:00
7,2020-03-20 00:00:00,funded,2,1,2,3069.75,3120.0,620.0,77,2020-05-06 06:30:00,2020-05-07 00:00:00
8,2020-03-21 00:00:00,funded,1,0,1,4891.75,6317.0,3817.0,3,2020-03-23 14:30:00,2020-03-24 00:00:00
9,2020-04-01 00:00:00,funded,2,1,2,3035.75,3088.5,588.5,60,2020-05-08 23:30:00,2020-05-09 00:00:00
10,2020-05-01 00:00:00,funded,1,0,1,3035.75,3088.5,588.5,27,2020-05-08 23:30:00,2020-05-09 00:00:00
11,2020-07-01 00:00:00,funded,2,1,2,3109.25,3366.0,866.0,106,2020-08-12 21:00:00,2020-08-13 00:00:00
12,2020-08-01 00:00:00,funded,1,0,1,3109.25,3366.0,866.0,43,2020-08-12 21:00:00,2020-08-13 00:00:00
13,2020-09-01 00:00:00,funded,3,2,3,3760.75,3883.5,1383.5,58,2020-11-04 15:30:00,2020-11-05 00:00:00
14,2020-10-01 00:00:00,funded,2,1,2,3760.75,3883.5,1383.5,33,2020-11-04 15:30:00,2020-11-05 00:00:00
15,2020-11-01 00:00:00,funded,1,0,1,3760.75,3883.5,1383.5,17,2020-11-04 15:30:00,2020-11-05 00:00:00
16,2020-12-01 00:00:00,funded,2,0,1,3005.5,3025.75,525.75,138,2021-01-07 17:00:00,2021-01-08 00:00:00
17,2021-01-01 00:00:00,funded,1,0,1,3084.75,3105.0,605.0,21,2021-01-07 17:00:00,2021-01-08 00:00:00
18,2021-02-01 00:00:00,funded,6,5,6,3070.75,3113.5,613.5,261,2021-07-12 15:30:00,2021-07-13 00:00:00
19,2021-03-01 00:00:00,funded,5,4,5,3070.75,3113.5,613.5,196,2021-07-12 15:30:00,2021-07-13 00:00:00
20,2021-03-05 00:00:00,funded,7,5,6,3081.0,3208.75,708.75,299,2021-09-10 17:00:00,2021-09-11 00:00:00
21,2021-03-06 00:00:00,funded,1,0,1,3029.25,3092.0,592.0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
22,2021-03-07 00:00:00,funded,1,0,1,3029.25,3092.0,592.0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
23,2021-03-08 00:00:00,funded,1,0,1,3029.25,3092.0,592.0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
24,2021-03-09 00:00:00,funded,1,0,1,3260.0,3432.75,932.75,10,2021-03-10 16:00:00,2021-03-11 00:00:00
25,2021-03-10 00:00:00,funded,1,0,1,3043.0,3773.25,1273.25,28,2021-03-17 20:30:00,2021-03-18 00:00:00
26,2021-03-11 00:00:00,funded,1,0,1,3174.0,3519.5,1019.5,24,2021-03-18 02:30:00,2021-03-19 00:00:00
27,2021-03-12 00:00:00,funded,1,0,1,3273.5,3619.0,1119.0,16,2021-03-18 02:30:00,2021-03-19 00:00:00
28,2021-03-13 00:00:00,funded,4,3,4,3258.25,3301.0,801.0,215,2021-07-12 15:30:00,2021-07-13 00:00:00
29,2021-03-14 00:00:00,funded,4,3,4,3258.25,3301.0,801.0,202,2021-07-12 15:30:00,2021-07-13 00:00:00
30,2021-04-01 00:00:00,funded,4,3,4,3070.75,3113.5,613.5,181,2021-07-12 15:30:00,2021-07-13 00:00:00
