account_id,died_at,death_trade,equity
4,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
30,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
31,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
32,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
33,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
34,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
35,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
36,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
37,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
38,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
39,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
40,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
41,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
42,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
43,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
44,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
48,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
49,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
55,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
56,2026-03-23 08:33:40,RR1.00:4-5:531:2061,-68.65
