job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,signals_executed,zero_live_signals,allocation_sha256
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,True,80068.7,0,80068.7,78,4,95329.7,78,84,167,5511.0,9750.0,15261.0,96668.7,16600.0,0,2,30609,12658,"{""booked_net_trading_usd"": 98893.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 8993.45, ""failed_negative_ledger_usd"": 16378.5, ""purchase_fees_usd"": 15261.0, ""pocket_usd"": 80068.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 16378.5, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 16378.5, ""dead_account_booked_deficits_usd"": 16378.5, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",74,69,5,0.0541,78.22,251.62,7753.01,234.49,602.67,3.26,2,2,6,0,0,0,0,6980,3140,7005bff9baa17aa793e23ae5f3a0589680ff6c5131895649b4d7027d69889c08
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,False,80068.7,0,80068.7,78,4,95329.7,78,84,167,5511.0,9750.0,15261.0,96668.7,16600.0,0,2,30609,12658,"{""booked_net_trading_usd"": 98893.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 8993.45, ""failed_negative_ledger_usd"": 16378.5, ""purchase_fees_usd"": 15261.0, ""pocket_usd"": 80068.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 16378.5, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 16378.5, ""dead_account_booked_deficits_usd"": 16378.5, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",74,69,5,0.0541,78.22,251.62,7753.01,234.49,602.67,3.26,2,2,6,0,0,0,0,6980,3140,7005bff9baa17aa793e23ae5f3a0589680ff6c5131895649b4d7027d69889c08
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,True,69536.75,0,69536.75,91,4,87841.75,91,93,210,6930.0,11375.0,18305.0,86136.75,16600.0,0,2,32106,12658,"{""booked_net_trading_usd"": 86424.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9998.75, ""failed_negative_ledger_usd"": 22364.55, ""purchase_fees_usd"": 18305.0, ""pocket_usd"": 69536.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 22364.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 22364.55, ""dead_account_booked_deficits_usd"": 22364.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",87,79,8,0.1034,99.1,386.19,11033.66,465.05,505.67,3.42,2,2,6,0,0,0,0,7347,2667,d377f7e279ef8a30e39c6697175fc2c213d7da022f33db6c66704f52e99a894b
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,False,69536.75,0,69536.75,91,4,87841.75,91,93,210,6930.0,11375.0,18305.0,86136.75,16600.0,0,2,32106,12658,"{""booked_net_trading_usd"": 86424.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9998.75, ""failed_negative_ledger_usd"": 22364.55, ""purchase_fees_usd"": 18305.0, ""pocket_usd"": 69536.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 22364.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 22364.55, ""dead_account_booked_deficits_usd"": 22364.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",87,79,8,0.1034,99.1,386.19,11033.66,465.05,505.67,3.42,2,2,6,0,0,0,0,7347,2667,d377f7e279ef8a30e39c6697175fc2c213d7da022f33db6c66704f52e99a894b
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,True,89049.25,0,89049.25,97,4,108566.25,97,99,224,7392.0,12125.0,19517.0,105649.25,16600.0,0,2,33302,12658,"{""booked_net_trading_usd"": 98979.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9616.4, ""failed_negative_ledger_usd"": 30151.7, ""purchase_fees_usd"": 19517.0, ""pocket_usd"": 89049.25, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 30151.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 30151.7, ""dead_account_booked_deficits_usd"": 30151.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",93,85,8,0.2043,69.9,341.12,10149.55,465.05,617.67,3.57,2,2,6,0,0,0,0,6895,3276,11c17a21fd1a6f99b55e72ae5af720f0709881a283de69864ea5556fbf84813a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,False,89049.25,0,89049.25,97,4,108566.25,97,99,224,7392.0,12125.0,19517.0,105649.25,16600.0,0,2,33302,12658,"{""booked_net_trading_usd"": 98979.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9616.4, ""failed_negative_ledger_usd"": 30151.7, ""purchase_fees_usd"": 19517.0, ""pocket_usd"": 89049.25, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 30151.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 30151.7, ""dead_account_booked_deficits_usd"": 30151.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",93,85,8,0.2043,69.9,341.12,10149.55,465.05,617.67,3.57,2,2,6,0,0,0,0,6895,3276,11c17a21fd1a6f99b55e72ae5af720f0709881a283de69864ea5556fbf84813a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,True,101574.1,0,101574.1,100,4,121664.1,100,102,230,7590.0,12500.0,20090.0,118174.1,16600.0,0,2,34813,12658,"{""booked_net_trading_usd"": 110307.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9369.6, ""failed_negative_ledger_usd"": 31675.65, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 101574.1, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 31675.65, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 31675.65, ""dead_account_booked_deficits_usd"": 31675.65, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,87,9,0.2083,55.02,341.12,10320.67,493.04,621.67,3.73,2,2,6,0,0,0,0,6881,3292,b565a69bff85cab1b800a5cd12c46616cc446e5bf08e3f281b5fe66378efabfe
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,False,101574.1,0,101574.1,100,4,121664.1,100,102,230,7590.0,12500.0,20090.0,118174.1,16600.0,0,2,34813,12658,"{""booked_net_trading_usd"": 110307.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9369.6, ""failed_negative_ledger_usd"": 31675.65, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 101574.1, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 31675.65, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 31675.65, ""dead_account_booked_deficits_usd"": 31675.65, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,87,9,0.2083,55.02,341.12,10320.67,493.04,621.67,3.73,2,2,6,0,0,0,0,6881,3292,b565a69bff85cab1b800a5cd12c46616cc446e5bf08e3f281b5fe66378efabfe
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,False,159484.95,0,159484.95,129,12,183925.95,129,140,252,8316.0,16125.0,24441.0,176084.95,16600.0,0,3,59120,12658,"{""booked_net_trading_usd"": 211305.3, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 35241.25, ""failed_positive_ledger_usd"": 17238.8, ""failed_negative_ledger_usd"": 25100.7, ""purchase_fees_usd"": 24441.0, ""pocket_usd"": 159484.95, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 25100.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 25100.7, ""dead_account_booked_deficits_usd"": 25100.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",117,114,3,0.0342,49.55,133.08,6023.52,14.04,343.67,6.3,5,5,9,0,0,0,0,7981,1792,e3c01eb84bc853d0d307245b4b014e1066738d558ae4c8a0225a62f5395237af
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,True,159484.95,0,159484.95,129,12,183925.95,129,140,252,8316.0,16125.0,24441.0,176084.95,16600.0,0,3,59120,12658,"{""booked_net_trading_usd"": 211305.3, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 35241.25, ""failed_positive_ledger_usd"": 17238.8, ""failed_negative_ledger_usd"": 25100.7, ""purchase_fees_usd"": 24441.0, ""pocket_usd"": 159484.95, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 25100.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 25100.7, ""dead_account_booked_deficits_usd"": 25100.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",117,114,3,0.0342,49.55,133.08,6023.52,14.04,343.67,6.3,5,5,9,0,0,0,0,7981,1792,e3c01eb84bc853d0d307245b4b014e1066738d558ae4c8a0225a62f5395237af
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 2, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,2,True,172240.35,0,172240.35,205,10,209877.35,205,214,364,12012.0,25625.0,37637.0,188840.35,16600.0,0,5,83561,12658,"{""booked_net_trading_usd"": 237512.2, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 27057.7, ""failed_negative_ledger_usd"": 38364.85, ""purchase_fees_usd"": 37637.0, ""pocket_usd"": 172240.35, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 38364.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 38364.85, ""dead_account_booked_deficits_usd"": 38364.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",195,185,10,0.0462,64.37,181.62,12494.44,17.92,401.67,8.88,5,5,15,0,0,0,0,7751,2158,2d9eefd1bb532bbe44dd91558b2734fec31df861844df551e7fa4c69e49f3961
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 2, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,2,False,193154.15,0,193154.15,209,10,231720.15,209,218,377,12441.0,26125.0,38566.0,209754.15,16600.0,0,5,85927,12658,"{""booked_net_trading_usd"": 257654.1, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 27988.8, ""failed_negative_ledger_usd"": 40996.85, ""purchase_fees_usd"": 38566.0, ""pocket_usd"": 193154.15, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40996.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40996.85, ""dead_account_booked_deficits_usd"": 40996.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",199,189,10,0.1156,59.07,144.62,11876.63,17.92,330.67,9.14,5,5,15,0,0,0,0,8038,1739,d87126dcf233df079e4d6a93a682f7c1a82aa05e61a12de9acdd0289b1af9e67
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 5, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,5,True,166430.85,0,166430.85,215,10,206472.85,215,221,399,13167.0,26875.0,40042.0,183030.85,16600.0,0,5,87114,12658,"{""booked_net_trading_usd"": 232923.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 28088.35, ""failed_negative_ledger_usd"": 40580.15, ""purchase_fees_usd"": 40042.0, ""pocket_usd"": 166430.85, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40580.15, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40580.15, ""dead_account_booked_deficits_usd"": 40580.15, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",205,195,10,0.1073,64.31,181.62,12857.74,17.92,382.67,9.27,5,5,15,0,1,11,11,7828,2049,bae32b8b8634c8c4fc366b5f707d198e0e04068feb31bd23f17d76437e6b7faa
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 5, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,5,False,218896.95,0,218896.95,220,10,260322.95,220,226,422,13926.0,27500.0,41426.0,235496.95,16600.0,0,5,93276,12658,"{""booked_net_trading_usd"": 286890.2, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 30282.15, ""failed_negative_ledger_usd"": 42656.9, ""purchase_fees_usd"": 41426.0, ""pocket_usd"": 218896.95, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 42656.9, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 42656.9, ""dead_account_booked_deficits_usd"": 42656.9, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",210,200,10,0.2619,51.07,144.62,11246.55,25.96,263.67,9.94,5,5,15,0,1,11,11,8287,1377,a6d45c88f8f19d820d467345ef694baf6490afe712b37b5130b28225fb8d741a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 0, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,0,False,190648.6,0,190648.6,123,12,215065.6,123,147,274,9042.0,15375.0,24417.0,207248.6,16600.0,0,5,65773,12658,"{""booked_net_trading_usd"": 254850.85, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 52590.15, ""failed_positive_ledger_usd"": 15554.35, ""failed_negative_ledger_usd"": 28359.25, ""purchase_fees_usd"": 24417.0, ""pocket_usd"": 190648.6, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 28359.25, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 28359.25, ""dead_account_booked_deficits_usd"": 28359.25, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",111,107,4,0.027,33.21,103.62,5094.25,116.27,368.67,7.03,10,10,14,0,0,0,0,7863,1991,196ec829eb2f767477e0cde436d96f403fbb833a128c2973a668f649360420c2
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 10, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,10,True,165154.9,0,165154.9,221,10,206606.9,221,226,419,13827.0,27625.0,41452.0,181754.9,16600.0,0,5,88098,12658,"{""booked_net_trading_usd"": 228127.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 28120.6, ""failed_negative_ledger_usd"": 45541.85, ""purchase_fees_usd"": 41452.0, ""pocket_usd"": 165154.9, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 45541.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 45541.85, ""dead_account_booked_deficits_usd"": 45541.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",211,201,10,0.1517,52.05,144.62,12011.44,17.92,366.67,9.38,5,5,15,6,0,2,2,7873,1988,181c81a8287730ac69881a7501b861c959eb794be05f165370902d9d960f4471
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 0, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,0,True,190648.6,0,190648.6,123,12,215065.6,123,147,274,9042.0,15375.0,24417.0,207248.6,16600.0,0,5,65773,12658,"{""booked_net_trading_usd"": 254850.85, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 52590.15, ""failed_positive_ledger_usd"": 15554.35, ""failed_negative_ledger_usd"": 28359.25, ""purchase_fees_usd"": 24417.0, ""pocket_usd"": 190648.6, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 28359.25, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 28359.25, ""dead_account_booked_deficits_usd"": 28359.25, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",111,107,4,0.027,33.21,103.62,5094.25,116.27,368.67,7.03,10,10,14,0,0,0,0,7863,1991,196ec829eb2f767477e0cde436d96f403fbb833a128c2973a668f649360420c2
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 10, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,10,False,262917.3,0,262917.3,241,10,308915.3,241,246,481,15873.0,30125.0,45998.0,279517.3,16600.0,0,5,101450,12658,"{""booked_net_trading_usd"": 322918.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 38942.0, ""failed_positive_ledger_usd"": 30605.65, ""failed_negative_ledger_usd"": 55544.9, ""purchase_fees_usd"": 45998.0, ""pocket_usd"": 262917.3, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 55544.9, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 55544.9, ""dead_account_booked_deficits_usd"": 55544.9, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",231,221,10,0.4113,32.15,113.05,8529.93,25.96,247.67,10.84,5,10,15,6,0,2,2,8332,1316,5cdbb8bf83dae86e90fc74c32839dcadc752b5219db31c7e055a7d1a8fe1cd9f
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 2, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,2,False,264856.0,0,264856.0,223,10,307647.0,223,241,452,14916.0,27875.0,42791.0,281456.0,16600.0,0,10,104978,12658,"{""booked_net_trading_usd"": 314611.75, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 28190.3, ""failed_negative_ledger_usd"": 71353.55, ""purchase_fees_usd"": 42791.0, ""pocket_usd"": 264856.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 71353.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 71353.55, ""dead_account_booked_deficits_usd"": 71353.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",213,203,10,0.1033,42.2,133.39,9650.36,17.92,212.67,11.19,10,10,20,0,0,0,0,8448,1128,9a323a7e01918e6533a3239c50cb25b3f7ca1122645664ff272e3e19ff404f10
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 2, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,2,True,249846.8,0,249846.8,219,10,291906.8,219,237,445,14685.0,27375.0,42060.0,266446.8,16600.0,0,10,103356,12658,"{""booked_net_trading_usd"": 304321.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 28196.2, ""failed_negative_ledger_usd"": 65909.35, ""purchase_fees_usd"": 42060.0, ""pocket_usd"": 249846.8, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 65909.35, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 65909.35, ""dead_account_booked_deficits_usd"": 65909.35, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",209,199,10,0.0574,45.05,144.62,10081.09,17.92,334.67,11.0,10,10,20,0,0,0,0,7973,1819,e7176c3d2ddd6570104b7cdc2cee2f7c2e2bed3e46c51a9bc46f0213b7e464a2
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 5, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,5,True,267230.6,0,267230.6,228,10,311537.6,228,241,479,15807.0,28500.0,44307.0,283830.6,16600.0,0,10,108742,12658,"{""booked_net_trading_usd"": 325399.8, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 29215.0, ""failed_negative_ledger_usd"": 65480.8, ""purchase_fees_usd"": 44307.0, ""pocket_usd"": 267230.6, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 65480.8, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 65480.8, ""dead_account_booked_deficits_usd"": 65480.8, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",218,208,10,0.1009,46.1,133.39,10974.39,17.92,427.67,11.59,10,10,20,16,0,0,16,7621,2281,b26322f8ec3fe57e3babfaabdd0cf25519427ff1470050f36722695d66e9b63a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 5, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,5,False,306860.0,0,306860.0,244,10,353926.0,244,257,502,16566.0,30500.0,47066.0,323460.0,16600.0,0,10,114525,12658,"{""booked_net_trading_usd"": 352454.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 29200.25, ""failed_negative_ledger_usd"": 80799.3, ""purchase_fees_usd"": 47066.0, ""pocket_usd"": 306860.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 80799.3, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 80799.3, ""dead_account_booked_deficits_usd"": 80799.3, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",234,224,10,0.2308,41.52,111.05,9456.32,17.92,244.67,12.23,10,10,23,16,0,0,16,8323,1302,7afbd5b1569913d6e60c4d4f51605c1942ba26ff864b09b2197181b3e370af6c
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 10, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,10,True,271715.3,0,271715.3,232,10,316852.3,232,244,489,16137.0,29000.0,45137.0,288315.3,16600.0,0,10,110060,12658,"{""booked_net_trading_usd"": 333051.6, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 29844.4, ""failed_negative_ledger_usd"": 63773.1, ""purchase_fees_usd"": 45137.0, ""pocket_usd"": 271715.3, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 63773.1, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 63773.1, ""dead_account_booked_deficits_usd"": 63773.1, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",222,212,10,0.1486,46.1,133.39,11049.75,17.92,428.67,11.73,10,10,20,1124,2,85,199,7617,2285,644f8d86e4256d858a541758c1c389ee9462154c659d04c14165d84999fc79a9
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 10, 10, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,10,10,False,341484.9,0,341484.9,272,10,394030.9,272,284,562,18546.0,34000.0,52546.0,358084.9,16600.0,0,10,122678,12658,"{""booked_net_trading_usd"": 378524.7, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50128.0, ""failed_positive_ledger_usd"": 30647.1, ""failed_negative_ledger_usd"": 96281.3, ""purchase_fees_usd"": 52546.0, ""pocket_usd"": 341484.9, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 96281.3, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 96281.3, ""dead_account_booked_deficits_usd"": 96281.3, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",262,252,10,0.4008,32.15,101.26,8236.84,17.92,222.67,13.12,10,10,24,1124,2,85,199,8420,1169,6010cd600585811bf0014229d50bbfc7bc45d446e9a3abbeac27907d4f1ce99d
