at,count,emergency
2023-01-02T00:00:00,5,False
2023-01-09T00:00:00,5,False
2023-01-16T00:00:00,5,False
2023-01-23T00:00:00,5,False
2023-01-30T00:00:00,5,False
2023-02-06T00:00:00,5,False
2023-02-13T00:00:00,5,False
2023-02-20T00:00:00,5,False
2023-02-27T00:00:00,5,False
2023-03-06T00:00:00,5,False
2023-03-13T00:00:00,5,False
2023-03-20T00:00:00,5,False
2023-03-27T00:00:00,5,False
2023-04-03T00:00:00,5,False
2023-04-10T00:00:00,5,False
2023-04-17T00:00:00,5,False
2023-04-24T00:00:00,5,False
2023-05-01T00:00:00,5,False
2023-05-08T00:00:00,5,False
2023-05-15T00:00:00,5,False
2023-05-22T00:00:00,5,False
2023-05-29T00:00:00,5,False
2023-06-05T00:00:00,5,False
2023-06-12T00:00:00,5,False
2023-06-19T00:00:00,5,False
2024-03-25T00:00:00,5,False
2024-04-01T00:00:00,5,False
2024-04-08T00:00:00,5,False
2024-04-15T00:00:00,5,False
2024-04-22T00:00:00,5,False
2024-04-29T00:00:00,5,False
2024-05-06T00:00:00,5,False
2024-05-13T00:00:00,5,False
2024-05-20T00:00:00,5,False
2024-05-27T00:00:00,5,False
2024-06-03T00:00:00,5,False
2024-08-12T00:00:00,5,False
