account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
2,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
3,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
4,2023-01-01 00:00:00,False,2023-12-01 17:26:40,RR1.00:17-18:230:1181,411,-202.5,430.5,-633.0,0.0,0.0,0
5,2023-01-01 00:00:00,False,2023-12-01 17:26:40,RR1.00:17-18:230:1181,411,-202.5,430.5,-633.0,0.0,0.0,0
6,2023-01-01 00:00:00,False,2023-12-01 17:26:40,RR1.00:17-18:230:1181,411,-202.5,430.5,-633.0,0.0,0.0,0
7,2023-01-01 00:00:00,True,,,1731,16167.0,1817.55,6849.45,7500.0,7500.0,15
8,2023-01-01 00:00:00,True,,,1731,16167.0,1817.55,6849.45,7500.0,7500.0,15
9,2023-01-01 00:00:00,True,,,1731,16167.0,1817.55,6849.45,7500.0,7500.0,15
10,2023-01-01 00:00:00,True,,,1725,11909.0,1811.25,5097.75,5000.0,5000.0,10
11,2023-01-01 00:00:00,True,,,1725,11909.0,1811.25,5097.75,5000.0,5000.0,10
12,2023-01-01 00:00:00,True,,,1725,11909.0,1811.25,5097.75,5000.0,5000.0,10
13,2023-01-01 00:00:00,True,,,1724,6498.0,1810.2,2187.8,2500.0,2500.0,3
14,2023-01-01 00:00:00,True,,,1724,6498.0,1810.2,2187.8,2500.0,2500.0,3
15,2023-01-01 00:00:00,True,,,1724,6498.0,1810.2,2187.8,2500.0,2500.0,3
16,2023-09-07 22:50:20,False,2026-03-16 05:15:40,RR1.00:4-5:529:2056,1215,1406.0,1274.7,131.3,0.0,0.0,0
17,2023-09-07 22:50:20,False,2026-03-16 05:15:40,RR1.00:4-5:529:2056,1215,1406.0,1274.7,131.3,0.0,0.0,0
18,2023-09-07 22:50:20,False,2026-03-16 05:15:40,RR1.00:4-5:529:2056,1215,1406.0,1274.7,131.3,0.0,0.0,0
19,2026-04-29 14:36:40,False,2026-05-22 23:30:00,RR1.00:17-18:382:1936,34,84.0,34.65,49.35,0.0,0.0,0
20,2026-04-29 14:36:40,False,2026-05-22 23:30:00,RR1.00:17-18:382:1936,34,84.0,34.65,49.35,0.0,0.0,0
21,2026-04-29 14:36:40,False,2026-05-22 23:30:00,RR1.00:17-18:382:1936,34,84.0,34.65,49.35,0.0,0.0,0
22,2026-06-03 14:28:40,False,2026-06-22 09:30:00,RR1.00:9-10:583:2144,25,-1150.0,25.2,-1175.2,0.0,0.0,0
23,2026-06-03 14:28:40,False,2026-06-22 09:30:00,RR1.00:9-10:583:2144,25,-1150.0,25.2,-1175.2,0.0,0.0,0
24,2026-06-03 14:28:40,False,2026-06-22 09:30:00,RR1.00:9-10:583:2144,25,-1150.0,25.2,-1175.2,0.0,0.0,0
